feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Megasphaera	pheno	Obese	0.0489482188394089	0.00934078085417761	254	78	3.39028687730081e-07	1.86465778251545e-05
Barnesiella	pheno	Obese	-0.0296693152588904	0.00678894097761623	254	111	1.8155609406264e-05	0.00024963962933613
Parabacteroides	pheno	Obese	-0.0219185358038339	0.00495265594600765	254	163	1.43274682815727e-05	0.00024963962933613
Phascolarctobacterium	pheno	Obese	-0.0324863875864616	0.00724905632322035	254	99	1.12569503719405e-05	0.00024963962933613
Alistipes	pheno	Obese	-0.0523320412682034	0.0123474969965616	254	227	3.16274421103368e-05	0.000312984868603945
Desulfovibrio	pheno	Obese	-0.0133566718680405	0.00316522480926677	254	72	3.41438038477031e-05	0.000312984868603945
Holdemania	pheno	Obese	-0.00726035554556036	0.00204658091927062	254	97	0.000463585248986343	0.00364245552774984
Acidaminococcus	pheno	Obese	0.0161946480205846	0.00489791554001805	254	49	0.00108248195807533	0.00744206346176791
Lactobacillus	pheno	Obese	0.0228339405973432	0.00734385193727517	254	67	0.00209096119689262	0.0115002865829094
Oscillibacter	pheno	Obese	-0.0419014517949764	0.0133865239891805	254	239	0.00195320162722811	0.0115002865829094
Dorea	pheno	Obese	0.0283679268643037	0.00972504973017926	254	243	0.00385300504857571	0.0192650252428786
Acetanaerobacterium	pheno	Obese	-0.00726495327951436	0.00258645732032888	254	101	0.0053615768412615	0.0245738938557819
Catenibacterium	pheno	Obese	0.0426463187529931	0.015860140970204	254	69	0.00764713255329013	0.0291609505116357
Dialister	pheno	Obese	0.0199346877496731	0.0074222813330615	254	106	0.0077166164983097	0.0291609505116357
Turicibacter	pheno	Obese	-0.0156857592703611	0.00586296201226733	254	97	0.00795298650317337	0.0291609505116357
Veillonella	pheno	Obese	0.00858888494577046	0.00334648530159333	254	50	0.0108504894153153	0.0372985573651465
Bifidobacterium	pheno	Obese	0.00421963964148707	0.00174273586417223	254	58	0.0161732081652774	0.0523250852406034
Coprobacillus	pheno	Obese	-0.0320443626227856	0.0135181556361637	254	173	0.0185188023150996	0.0565852292961376
Clostridium	pheno	Obese	-0.0143665995257504	0.00618949234615892	254	156	0.0210783890572374	0.0610163893762135
Eggerthella	pheno	Obese	-0.00807760683950543	0.00364586676114471	254	112	0.0276164400278046	0.0759452100764626
Allisonella	pheno	Obese	0.0040861830246489	0.00189401711031166	254	36	0.0319187638560944	0.0763274787863128
Lachnobacterium	pheno	Obese	-0.00902858415843266	0.00415010900839728	254	49	0.030521990815856	0.0763274787863128
Roseburia	pheno	Obese	0.0246705963413784	0.0114037630172114	254	253	0.0314528065002147	0.0763274787863128
Collinsella	pheno	Obese	0.0220075372707751	0.0108018755921781	254	191	0.0426566818284419	0.097754895856846
Eubacterium	pheno	Obese	0.0261617806006234	0.0137135258203061	254	168	0.0575620732081559	0.126636561057943
Lactonifactor	pheno	Obese	0.00905699072583347	0.00491951913239297	254	137	0.0667923767552891	0.136058545242256
Ruminococcus	pheno	Obese	-0.0236907989302255	0.0127975457931436	254	207	0.0653109634022404	0.136058545242256
Gordonibacter	pheno	Obese	-0.00232000553434144	0.00130321509505049	254	29	0.0762453104747389	0.144238145603345
Prevotella	pheno	Obese	0.03581358107522	0.0201010270363157	254	109	0.0760057716236635	0.144238145603345
Streptococcus	pheno	Obese	0.0171826149022572	0.00973192997539853	254	204	0.0786753521472792	0.144238145603345
Asaccharobacter	pheno	Obese	-0.00421474250450427	0.00240922138940635	254	66	0.0814356079029856	0.144482530150458
Paraprevotella	pheno	Obese	0.00900656613443253	0.00579841885923646	254	68	0.121611291081092	0.209019406545628
Sporobacter	pheno	Obese	0.00482942516387999	0.00319870260540552	254	45	0.132345361674389	0.220575602790648
Odoribacter	pheno	Obese	-0.00612504269823519	0.00412920697947299	254	144	0.1392320825623	0.225228368850779
Sutterella	pheno	Obese	0.0108442344952981	0.00739443544815716	254	80	0.143748034412789	0.225889768362954
Butyricicoccus	pheno	Obese	0.00461884183671231	0.00332256977538779	254	191	0.16571258611517	0.253172006564843
Bacteroides	pheno	Obese	-0.0349060097279108	0.030667361839288	254	252	0.256112230874818	0.380707370219324
Uknown	pheno	Obese	-0.0209006309912288	0.0211369820343437	254	254	0.323700603482072	0.468514031355631
Akkermansia	pheno	Obese	-0.00377951207492221	0.0041351139045996	254	76	0.36158823733358	0.509932129572997
