"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40"
"Butyrate",0.9441,0.9605,2.294,0.81,0.6623,0.7366,0.5971,0.6094,0.8545,0.6782,1.0217,0.7333,0.7044,1.7358,0.6905,0.5128,0.9641,1.0269,1.5451,0.6664,1.3148,2.7412,2.6331,3.4968,1.4757,1.8483,5.0364,1.1098,3.8123,2.6198,1.8797,2.8892,3.1445,4.0076,4.7344,1.0662,3.6,3.7184,3.8616,0.9111
"Acetate",9.0399,8.8941,18.4768,14.9939,16.7815,16.9917,18.6493,16.9941,14.0779,20.1426,19.9332,12.8929,17.7163,16.2577,13.8661,17.2788,24.227,13.7443,17.2729,7.3306,26.4476,21.0257,21.6387,17.0842,18.48,23.5335,20.7005,26.4319,22.8945,24.5204,18.9171,20.0723,27.3203,18.5117,24.8024,17.5955,16.6341,17.5216,23.263,17.4534
"Propionate",2.0856,2.2319,3.6512,3.4386,4.0731,3.6646,3.4348,4.0294,3.0116,3.961,4.4474,2.8271,3.3887,3.4666,3.3408,2.911,5.0465,3.448,3.3531,1.6486,6.3521,5.1153,4.7193,4.3925,5.043,5.2407,5.1589,3.9652,5.8343,5.707,5.6081,3.5084,5.6719,5.1055,5.3528,4.8595,3.8277,3.9712,5.6576,5.2667
"Valerate",0.3554,0.3351,0.6565,0.4298,0.4812,0.477,0.5116,0.5478,0.3402,0.3324,0.385,0.3042,0.3421,0.4158,0.4953,0.3329,0.4381,0.3673,0.4607,0.2208,0.2891,0.2925,0.3921,0.2939,0.2199,0.2387,0.4012,0.3616,0.4295,0.3026,0.2186,0.167,0.3673,0.3648,0.426,0.241,0.2524,0.2323,0.362,0.3375
"Isovalerate",0.0998,0.1116,0.1312,0.1084,0.0858,0.1254,0.0906,0.1107,0.0632,0.0625,0.0799,0.0958,0.0467,0.0803,0.1012,0.0581,0.0702,0.097,0.0806,0.0539,0.0231,0.0733,0.0572,0.0707,0.0337,0.0458,0.0308,0.0445,0.0622,0.0465,0.0582,0.0535,0.0419,0.0639,0.0468,0.0589,0.0525,0.0607,0.0475,0.0522
"Isobutyrate",0.0471,0.198,0.1779,0.0905,0.0873,0.0962,NA,0.1425,0.0097,0.3919,0.1758,0.0462,0.0638,0.0544,0.1834,0.1294,0.0911,0.1851,0.1922,0.0553,0.2517,0.0372,0.0745,0.0333,0.2757,0.0807,0.0211,NA,0.0368,0.0251,0.0294,0.0238,0.0258,0.0339,0.022,0.0147,0.0607,0.0642,0.0765,0.0141
"Formate",0.0255,0.0319,0.1772,0.0164,0.0164,0.0204,0.0111,0.0175,0.0475,0.0125,0.0181,0.0163,0.011,0.1269,0.0377,0.0152,0.0201,0.0136,0.2167,0.1796,0.048,0.0345,0.0393,0.1934,0.0603,0.0274,0.0822,0.0672,0.0355,0.045,0.0301,0.0858,0.0234,0.0334,0.0328,0.0359,0.1173,0.031,0.029,0.0362
"Glucose",0.4801,0.49,0.6033,0.5675,0.6066,0.6197,0.2411,0.4668,0.512,0.467,0.6038,0.4417,0.5131,0.6442,0.289,0.188,0.723,0.3459,0.573,0.3467,2.0663,1.2347,1.7852,2.067,1.4786,1.1049,2.095,2.8161,2.8878,2.1221,0.9631,2.6385,1.141,2.1295,1.9938,0.731,1.7168,1.4602,2.5316,0.8564
"Glycerol",6.6837,6.9115,0.4392,3.2821,1.08,0.6187,0.1655,1.6812,0.6555,3.0704,2.4785,0.0895,0.4264,0.3125,0.7392,0.4344,0.9634,0.958,0.6943,1.1901,0.6238,0.2469,0.3991,0.495,0.4258,0.1744,0.0764,0.4041,0.1302,0.09,0.8537,0.1364,0.6063,0.2724,0.3304,0.1968,0.5372,0.0532,0.1541,0.4372
"Threonine",0.1873,0.2402,0.3086,0.3335,0.277,0.2685,0.1495,0.3105,0.2561,0.2424,0.3461,0.2962,0.2337,0.2472,0.2117,0.1368,0.2382,0.1908,0.2684,0.2545,0.135,0.1253,0.1647,0.1872,0.2584,0.1286,0.1614,0.2881,0.2858,0.1293,0.1019,0.3266,0.0578,0.1356,0.1573,0.2005,0.151,0.1464,0.2023,0.2708
