"","Sample","Rat","Site","Diet","Fat","XOS"
"C1","C1","1","Cecum","High-fat","High",0
"C2","C2","2","Cecum","High-fat","High",0
"C3","C3","3","Cecum","High-fat","High",0
"C4","C4","4","Cecum","High-fat","High",0
"C5","C5","5","Cecum","High-fat","High",0
"C6","C6","6","Cecum","High-fat","High",0
"C7","C7","7","Cecum","High-fat","High",0
"C8","C8","8","Cecum","High-fat","High",0
"C9","C9","9","Cecum","High-fat","High",0
"C10","C10","10","Cecum","High-fat","High",0
"C11","C11","11","Cecum","High-fat + XOS","High",1
"C12","C12","12","Cecum","High-fat + XOS","High",1
"C13","C13","13","Cecum","High-fat + XOS","High",1
"C14","C14","14","Cecum","High-fat + XOS","High",1
"C15","C15","15","Cecum","High-fat + XOS","High",1
"C16","C16","16","Cecum","High-fat + XOS","High",1
"C17","C17","17","Cecum","High-fat + XOS","High",1
"C18","C18","18","Cecum","High-fat + XOS","High",1
"C19","C19","19","Cecum","High-fat + XOS","High",1
"C20","C20","20","Cecum","High-fat + XOS","High",1
"C21","C21","21","Cecum","Low-fat","Low",0
"C22","C22","22","Cecum","Low-fat","Low",0
"C23","C23","23","Cecum","Low-fat","Low",0
"C24","C24","24","Cecum","Low-fat","Low",0
"C25","C25","25","Cecum","Low-fat","Low",0
"C26","C26","26","Cecum","Low-fat","Low",0
"C27","C27","27","Cecum","Low-fat","Low",0
"C28","C28","28","Cecum","Low-fat","Low",0
"C29","C29","29","Cecum","Low-fat","Low",0
"C30","C30","30","Cecum","Low-fat","Low",0
"C31","C31","31","Cecum","Low-fat + XOS","Low",1
"C32","C32","32","Cecum","Low-fat + XOS","Low",1
"C33","C33","33","Cecum","Low-fat + XOS","Low",1
"C34","C34","34","Cecum","Low-fat + XOS","Low",1
"C35","C35","35","Cecum","Low-fat + XOS","Low",1
"C36","C36","36","Cecum","Low-fat + XOS","Low",1
"C37","C37","37","Cecum","Low-fat + XOS","Low",1
"C38","C38","38","Cecum","Low-fat + XOS","Low",1
"C39","C39","39","Cecum","Low-fat + XOS","Low",1
"C40","C40","40","Cecum","Low-fat + XOS","Low",1
