"","Phylum","Class","Order","Family","Genus","Species","OTU"
"GAYR01026362.62.2014","D_1__Proteobacteria","D_2__Alphaproteobacteria","D_3__Rickettsiales","D_4__Mitochondria","D_5__Solanum melongena (eggplant)","D_6__Solanum melongena (eggplant)","GAYR01026362.62.2014"
"CVJT01000011.50.2173","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__Staphylococcus","D_6__Staphylococcus aureus","CVJT01000011.50.2173"
"KF625183.1.1786","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Klebsiella","D_6__Klebsiella oxytoca","KF625183.1.1786"
"AYSG01000002.292.2076","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Streptococcaceae","D_5__Streptococcus","D_6__Streptococcus thermophilus TH1435","AYSG01000002.292.2076"
"CCPS01000022.154.1916","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Escherichia coli","CCPS01000022.154.1916"
"KJ923794.1.1762","D_1__Firmicutes","D_2__Bacilli","D_3__Bacillales","D_4__Staphylococcaceae","D_5__Staphylococcus","D_6__Staphylococcus aureus","KJ923794.1.1762"
"CP006736.223921.225660","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__Shigella dysenteriae 1617","CP006736.223921.225660"
"GEMN01027092.33.1623","D_1__Cyanobacteria","D_2__Oxyphotobacteria","D_3__Chloroplast","D_4__Pinus sylvestris (Scots pine)","D_5__Pinus sylvestris (Scots pine)","D_6__Pinus sylvestris (Scots pine)","GEMN01027092.33.1623"
"EU622687.1.1587","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 5","D_6__uncultured bacterium","EU622687.1.1587"
"KY646024.1.1591","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Pseudomonadales","D_4__Pseudomonadaceae","D_5__Pseudomonas","D_6__Pseudomonas sp.","KY646024.1.1591"
"JUOP01000215.81.1657","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","D_6__Enterococcus faecalis","JUOP01000215.81.1657"
"JN628990.1.1569","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","D_6__Enterococcus faecalis","JN628990.1.1569"
"KF843412.1.1565","D_1__Proteobacteria","D_2__Gammaproteobacteria","D_3__Enterobacteriales","D_4__Enterobacteriaceae","D_5__Escherichia-Shigella","D_6__uncultured bacterium","KF843412.1.1565"
"LG042641.312212.313771","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus reuteri","LG042641.312212.313771"
"AB559692.1.1569","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AB559692.1.1569"
"AB559728.1.1569","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__uncultured bacterium","AB559728.1.1569"
"KX960105.1.1558","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Enterococcaceae","D_5__Enterococcus","D_6__Enterococcus faecalis","KX960105.1.1558"
"AY349382.1.1568","D_1__Firmicutes","D_2__Bacilli","D_3__Lactobacillales","D_4__Lactobacillaceae","D_5__Lactobacillus","D_6__Lactobacillus sp. oral clone HT002","AY349382.1.1568"
