sgbid	sgbname	tax_k	tax_p	tax_c	tax_o	tax_f	tax_g	tax_s	terminal_sgb	is_human_pathogen	assigned_pathogen_name	assigned_pathogen_taxid
1	SGB1	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__Candidatus_Pacearchaeota_archaeon_CG1_02_35_32	t__SGB1	no	NA	NA
2	SGB2	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_31_9	t__SGB2	no	NA	NA
4	SGB4	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_31_24	t__SGB4	no	NA	NA
5	SGB5	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__Candidatus_Pacearchaeota_archaeon_CG10_big_fil_rev_8_21_14_0_10_34_76	t__SGB5	no	NA	NA
7	SGB7	k__Archaea	p__Candidatus_Micrarchaeota	c__Candidatus_Micrarchaeota_unclassified	o__Candidatus_Micrarchaeota_unclassified	f__Candidatus_Micrarchaeota_unclassified	g__Candidatus_Micrarchaeota_unclassified	s__Candidatus_Micrarchaeota_archaeon_RBG_16_36_9	t__SGB7	no	NA	NA
8	SGB8	k__Archaea	p__Candidatus_Diapherotrites	c__Candidatus_Diapherotrites_unclassified	o__Candidatus_Diapherotrites_unclassified	f__Candidatus_Diapherotrites_unclassified	g__Candidatus_Diapherotrites_unclassified	s__Candidatus_Diapherotrites_archaeon_CG08_land_8_20_14_0_20_30_16	t__SGB8	no	NA	NA
9	SGB9	k__Archaea	p__Candidatus_Bathyarchaeota	c__Candidatus_Bathyarchaeota_unclassified	o__Candidatus_Bathyarchaeota_unclassified	f__Candidatus_Bathyarchaeota_unclassified	g__Candidatus_Bathyarchaeota_unclassified	s__miscellaneous_Crenarchaeota_group_1_archaeon_SG8_32_1	t__SGB9	no	NA	NA
10	SGB10	k__Archaea	p__Candidatus_Aenigmarchaeota	c__Candidatus_Aenigmarchaeota_unclassified	o__Candidatus_Aenigmarchaeota_unclassified	f__Candidatus_Aenigmarchaeota_unclassified	g__Candidatus_Aenigmarchaeota_unclassified	s__Candidatus_Aenigmarchaeota_archaeon_ex4484_14	t__SGB10	no	NA	NA
11	SGB11	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasmataceae_unclassified	s__Mycoplasmataceae_bacterium_RV_VA103A	t__SGB11	no	NA	NA
12	SGB12	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasmataceae_unclassified	s__Mycoplasmataceae_bacterium_RC_NB112A	t__SGB12	no	NA	NA
13	SGB13	k__Bacteria	p__Tenericutes	c__Mollicutes	o__Mycoplasmatales	f__Mycoplasmataceae	g__Mycoplasmataceae_unclassified	s__Mycoplasmataceae_bacterium_CE_OT135	t__SGB13	no	NA	NA
17	SGB17	k__Bacteria	p__Bacteria_unclassified	c__Bacteria_unclassified	o__Bacteria_unclassified	f__Bacteria_unclassified	g__Bacteria_unclassified	s__Parcubacteria_group_bacterium_GW2011_GWA2_46_39	t__SGB17	no	NA	NA
19	SGB19	k__Archaea	p__Candidatus_Woesearchaeota	c__Candidatus_Woesearchaeota_unclassified	o__Candidatus_Woesearchaeota_unclassified	f__Candidatus_Woesearchaeota_unclassified	g__Candidatus_Woesearchaeota_unclassified	s__Candidatus_Woesearchaeota_archaeon	t__SGB19	no	NA	NA
20	SGB20	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__archaeon_GW2011_AR15	t__SGB20	no	NA	NA
21	SGB21	k__Bacteria	p__Spirochaetes	c__Spirochaetes_unclassified	o__Spirochaetes_unclassified	f__Spirochaetes_unclassified	g__Spirochaetes_unclassified	s__Spirochaetes_bacterium_GWF1_41_5	t__SGB21	no	NA	NA
22	SGB22	k__Archaea	p__Candidatus_Heimdallarchaeota	c__Candidatus_Heimdallarchaeota_unclassified	o__Candidatus_Heimdallarchaeota_unclassified	f__Candidatus_Heimdallarchaeota_unclassified	g__Candidatus_Heimdallarchaeota_unclassified	s__Candidatus_Heimdallarchaeota_archaeon_LC_3	t__SGB22	no	NA	NA
24	SGB24	k__Archaea	p__Archaea_unclassified	c__Archaea_unclassified	o__Archaea_unclassified	f__Archaea_unclassified	g__Archaea_unclassified	s__archaeon_BMS3Abin17	t__SGB24	no	NA	NA
27	SGB27	k__Archaea	p__Candidatus_Woesearchaeota	c__Candidatus_Woesearchaeota_unclassified	o__Candidatus_Woesearchaeota_unclassified	f__Candidatus_Woesearchaeota_unclassified	g__Candidatus_Woesearchaeota_unclassified	s__Candidatus_Woesearchaeota_archaeon	t__SGB27	no	NA	NA
28	SGB28	k__Archaea	p__Candidatus_Woesearchaeota	c__Candidatus_Woesearchaeota_unclassified	o__Candidatus_Woesearchaeota_unclassified	f__Candidatus_Woesearchaeota_unclassified	g__Candidatus_Woesearchaeota_unclassified	s__Candidatus_Woesearchaeota_archaeon	t__SGB28	no	NA	NA
29	SGB29	k__Archaea	p__Candidatus_Lokiarchaeota	c__Candidatus_Lokiarchaeota_unclassified	o__Candidatus_Lokiarchaeota_unclassified	f__Candidatus_Lokiarchaeota_unclassified	g__Candidatus_Lokiarchaeota_unclassified	s__Candidatus_Lokiarchaeota_archaeon_CR_4	t__SGB29	no	NA	NA
30	SGB30	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Candidatus_Altiarchaeales	f__Candidatus_Altiarchaeales_archaeon_ex4484_43_unclassified	g__Candidatus_Altiarchaeales_archaeon_ex4484_43_unclassified	s__Candidatus_Altiarchaeales_archaeon_ex4484_43	t__SGB30	no	NA	NA
31	SGB31	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA833K04	t__SGB31	no	NA	NA
32	SGB32	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA261O19	t__SGB32	no	NA	NA
33	SGB33	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA261F17	t__SGB33	no	NA	NA
34	SGB34	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA261D19	t__SGB34	no	NA	NA
35	SGB35	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA385D11	t__SGB35	no	NA	NA
36	SGB36	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259B11	t__SGB36	no	NA	NA
37	SGB37	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259J03	t__SGB37	no	NA	NA
38	SGB38	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259D14	t__SGB38	no	NA	NA
40	SGB40	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259I09	t__SGB40	no	NA	NA
41	SGB41	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259M10	t__SGB41	no	NA	NA
42	SGB42	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259I07	t__SGB42	no	NA	NA
43	SGB43	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259I14	t__SGB43	no	NA	NA
44	SGB44	k__Archaea	p__Euryarchaeota	c__Euryarchaeota_unclassified	o__Euryarchaeota_unclassified	f__Euryarchaeota_unclassified	g__Euryarchaeota_unclassified	s__candidate_divison_MSBL1_archaeon_SCGC_AAA259E17	t__SGB44	no	NA	NA
