"","C1","C2","C3","C4","C5","C6","C7","C8","C9","C10","C11","C12","C13","C14","C15","C16","C17","C18","C19","C20","C21","C22","C23","C24","C25","C26","C27","C28","C29","C30","C31","C32","C33","C34","C35","C36","C37","C38","C39","C40"
"GAYR01026362.62.2014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CVJT01000011.50.2173",1,0,1,1,0,0,0,5,1,4,2,0,2,0,0,0,0,0,0,0,1,1,3,0,0,1,4,0,1,3,0,0,1,1,3,0,3,0,1,0
"KF625183.1.1786",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AYSG01000002.292.2076",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCPS01000022.154.1916",7,2,10,15,0,0,0,0,11,4,8,50,16,14,2,32,2,24,23,30,10,4,33,0,9,8,25,9,0,3,5,20,4,10,4,6,1,6,1,12
"KJ923794.1.1762",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"CP006736.223921.225660",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEMN01027092.33.1623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"EU622687.1.1587",0,23,14,43,9,5,2,21,8,7,1,1,0,3,5,1,11,8,8,2,26,21,21,20,84,26,15,15,23,10,0,12,37,0,25,0,37,0,5,0
"KY646024.1.1591",0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2
"JUOP01000215.81.1657",2,0,0,2,0,0,0,0,2,4,1,11,0,2,0,0,2,1,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JN628990.1.1569",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KF843412.1.1565",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LG042641.312212.313771",4,1,65,94,29,23,32,7,79,41,28,29,16,78,21,2,3,25,47,26,87,2,3,0,51,9,54,8,30,6,0,1,13,4,19,0,15,1,15,52
"AB559692.1.1569",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB559728.1.1569",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KX960105.1.1558",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AY349382.1.1568",21,3,152,94,28,42,54,10,204,40,20,69,39,131,23,3,10,77,76,42,73,1,4,0,94,10,37,9,58,7,2,1,10,4,29,0,28,3,11,94
"AB559668.1.1567",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AB606407.1.1554",0,18,0,0,0,0,0,1,19,1,0,0,0,12,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68,44,0
"AB969632.1.1565",0,0,0,2,0,0,1,0,3,1,0,1,1,2,0,0,0,1,1,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0
"DQ394600.1.1565",0,0,0,0,2,0,0,3,0,5,0,3,0,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,37,1,0,0,0,31,0,0,0,0,6,0
"EU622770.1.1565",766,1510,1426,1245,1349,1171,1669,3337,3248,1949,2489,1836,2038,1086,906,1093,5865,2410,1276,1415,1666,452,1229,342,1118,947,518,250,157,413,72,125,169,317,295,419,1139,370,67,376
"EU791072.1.1553",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KF738665.1.1553",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KU161106.1.1565",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQ394665.1.1563",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0,0,1,0,0
"DQ394662.1.1562",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"JQ805635.1.1591",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"AY858424.1.1561",0,4,1,2,1,0,0,0,4,1,0,0,2,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0
"DQ394666.1.1561",0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AF197125.1.1555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AM277369.1.1548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DQ105660.1.1557",0,0,0,4,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0
"DQ288684.1.1556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"LQNG01000112.68.1642",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB506139.1.1558",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0
"AB507689.1.1558",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"AB606249.1.1546",0,9,18,16,2,3,0,4,13,10,34,1,15,12,27,27,3,13,10,18,35,49,3,4,0,13,0,2,35,12,17,1,65,45,11,0,8,2,15,0
