feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T329	E1	yes	1.50757539126249	0.414478866134032	165	51	0.000369273278548609	0.187590825502694
T341	E1	yes	1.03126813801981	0.373763000129552	165	108	0.00645826392201083	0.656265532650007
T361	E1	yes	1.03329016136641	0.364209722878929	165	73	0.00513121067479828	0.656265532650007
T370	E1	yes	2.27106394995572	0.803358636562456	165	21	0.00528811687311979	0.656265532650007
T390	E1	yes	0.963334937237602	0.349148929902927	165	64	0.00645930642372054	0.656265532650007
T333	E1	yes	1.71647377969299	0.639123475367053	165	23	0.00798761514982825	0.676284749352125
T157	E1	yes	0.196494654064802	0.0779776358112543	165	165	0.0127013363133382	0.716919871908424
T402	E1	yes	4.54865743415652	1.78678498452683	165	5	0.0118325957470759	0.716919871908424
T453	E1	yes	2.66005357821139	1.04113202218353	165	11	0.0115350334459343	0.716919871908424
T141	E1	yes	0.190094117833043	0.0770980049163184	165	165	0.0147138127169254	0.729938649666336
T277	E1	yes	1.22540702759945	0.502445830485735	165	57	0.0158057581620663	0.729938649666336
T305	E1	yes	1.02004570927103	0.427803765112207	165	66	0.0182573186650258	0.772893156819428
T119	E1	yes	0.162052100527652	0.0693002200376645	165	164	0.0205801605592719	0.804209351085393
T8	E1	yes	0.0836002373317641	0.0521632985973496	165	165	0.110944941764302	0.821562598386941
T16	E1	yes	0.0777414289504829	0.0423109223511351	165	165	0.0679739875454397	0.821562598386941
T27	E1	yes	0.0646383059843618	0.0351247897107386	165	165	0.0675504096670763	0.821562598386941
T29	E1	yes	0.0623787563447435	0.0317549418083324	165	165	0.0511864655607739	0.821562598386941
T46	E1	yes	0.0427724367727571	0.0214284716460761	165	165	0.0475931527312764	0.821562598386941
T53	E1	yes	0.0422703551354102	0.0240530124368223	165	165	0.0807299191538726	0.821562598386941
T58	E1	yes	-0.0451735754856666	0.0279038833338478	165	165	0.107402229826644	0.821562598386941
T66	E1	yes	0.101154667406399	0.0581380609448028	165	165	0.0837632822762555	0.821562598386941
T67	E1	yes	-0.0871368140784814	0.0507813446721088	165	165	0.088076318025305	0.821562598386941
T68	E1	yes	0.137250268175149	0.0862934140801325	165	165	0.11365821738492	0.821562598386941
T72	E1	yes	-0.0584709135289305	0.0302839972125193	165	165	0.0552491468032633	0.821562598386941
T78	E1	yes	0.0992913670111535	0.0641407560726326	165	165	0.123556124976507	0.821562598386941
T79	E1	yes	0.140332105859453	0.0785723559764565	165	165	0.0759544138743447	0.821562598386941
T83	E1	yes	-0.0974051963229828	0.0534959975292481	165	165	0.0704720453970493	0.821562598386941
T95	E1	yes	-0.21719065510422	0.131331842268539	165	165	0.10010191697335	0.821562598386941
T115	E1	yes	0.193098389442364	0.0988750994056383	165	164	0.0525377561617387	0.821562598386941
T131	E1	yes	0.252679668366085	0.14039821174412	165	164	0.0737518664765025	0.821562598386941
T143	E1	yes	0.293853842045283	0.158295050613936	165	162	0.0652062062824638	0.821562598386941
T159	E1	yes	0.321683962200185	0.187665033100572	165	165	0.0884040071420109	0.821562598386941
T161	E1	yes	0.160378808718904	0.0942464421336145	165	160	0.090718923267799	0.821562598386941
T163	E1	yes	0.252966459472698	0.159568998787689	165	163	0.114833873114645	0.821562598386941
T172	E1	yes	0.182457069422809	0.108511597349478	165	162	0.0945901073343841	0.821562598386941
T178	E1	yes	-0.123325979020736	0.0797899116884361	165	164	0.124132349096184	0.821562598386941
T191	E1	yes	-0.130872426377677	0.0768719154920717	165	165	0.0905728107682914	0.821562598386941
T209	E1	yes	-0.163167359337687	0.0841467071824464	165	165	0.0542183782582296	0.821562598386941
T214	E1	yes	-0.292001981722448	0.155596012466009	165	156	0.0623509612853404	0.821562598386941
T216	E1	yes	0.131432310688711	0.084482159518212	165	162	0.121709308143725	0.821562598386941
T219	E1	yes	0.186935756888642	0.113462369969909	165	162	0.1013699287119	0.821562598386941
T220	E1	yes	-0.177206579729494	0.112641272117861	165	163	0.117612914242985	0.821562598386941
T221	E1	yes	-0.155473202337672	0.0829539812061112	165	165	0.0626909363250476	0.821562598386941
T227	E1	yes	0.142000110789342	0.0871105794093506	165	162	0.105008445086762	0.821562598386941
T241	E1	yes	-0.197132860113304	0.114036978076335	165	165	0.0857608178459895	0.821562598386941
T268	E1	yes	-0.397558580762479	0.24488726727078	165	96	0.106428790954329	0.821562598386941
T278	E1	yes	0.606170729736733	0.277160066086933	165	91	0.0301614636639073	0.821562598386941
T279	E1	yes	0.524479440000394	0.287905623159416	165	86	0.0703327689208502	0.821562598386941
T286	E1	yes	-0.33920256793822	0.199879704198709	165	164	0.0915989423122383	0.821562598386941
T288	E1	yes	0.259637717539227	0.16226202858729	165	155	0.111509766009989	0.821562598386941
T293	E1	yes	0.432877846253905	0.278971654755442	165	125	0.122675588275348	0.821562598386941
T301	E1	yes	-0.41640009937423	0.247278846555247	165	134	0.0941093670802336	0.821562598386941
T315	E1	yes	-0.412562769053231	0.267204306494909	165	137	0.12452818912558	0.821562598386941
T328	E1	yes	-0.495033869206211	0.288321649216204	165	104	0.0878877514608106	0.821562598386941
T334	E1	yes	0.493075172617842	0.291981140069525	165	98	0.0931847049401224	0.821562598386941
T336	E1	yes	-0.478139733573983	0.281912796262229	165	114	0.0917844294322253	0.821562598386941
T343	E1	yes	0.440410676656458	0.262509599228041	165	84	0.0953233620750362	0.821562598386941
T344	E1	yes	-0.453209139339063	0.270842429984425	165	109	0.0961801188825839	0.821562598386941
T345	E1	yes	0.996347140912469	0.464945708854497	165	30	0.0336023548357171	0.821562598386941
T353	E1	yes	-0.384932967035132	0.177568322323716	165	156	0.0316244268537888	0.821562598386941
T354	E1	yes	0.641910272116577	0.323502030892287	165	98	0.0489061137136345	0.821562598386941
T395	E1	yes	-1.79104593190139	1.08169076135409	165	6	0.0996895669322664	0.821562598386941
T397	E1	yes	2.14977889617269	1.00010517896463	165	10	0.033065648306265	0.821562598386941
T410	E1	yes	-1.13872733871279	0.523208818690695	165	32	0.030962184750197	0.821562598386941
T416	E1	yes	-0.504785264035481	0.317417963514312	165	80	0.113708052898045	0.821562598386941
T425	E1	yes	-0.780904660465381	0.370599702638177	165	62	0.036636127863118	0.821562598386941
T436	E1	yes	-2.22998224985605	1.18828073187798	165	5	0.0623539347889849	0.821562598386941
T438	E1	yes	4.23919662145535	2.03524664676063	165	2	0.0388225062247101	0.821562598386941
T447	E1	yes	-2.24990283497089	1.40392323569178	165	4	0.110962939252892	0.821562598386941
T448	E1	yes	-2.26396733023302	1.40471281018011	165	4	0.108963147820645	0.821562598386941
T459	E1	yes	1.45959694962012	0.859839576349874	165	22	0.0915063547843761	0.821562598386941
T466	E1	yes	1.81079174837671	1.04094413451766	165	7	0.0838227927954166	0.821562598386941
T468	E1	yes	-2.24697023286517	1.19905352203679	165	7	0.0627265850410372	0.821562598386941
T469	E1	yes	-1.26149080889129	0.732799515601054	165	12	0.0870631729475154	0.821562598386941
T486	E1	yes	3.18075483250149	1.87123187238866	165	3	0.0910724566481122	0.821562598386941
T493	E1	yes	2.72567257325576	1.70281089445464	165	3	0.111381925099675	0.821562598386941
T504	E1	yes	4.29046055204316	1.99958903352914	165	3	0.0333794127021964	0.821562598386941
T303	E1	yes	-0.290609348186529	0.189283258490927	165	155	0.126645353031787	0.824818453078821
T1	E1	yes	0.0389085625575235	0.031536399221641	165	165	0.219065832689356	0.849992110259515
T2	E1	yes	0.0414780795749529	0.0382414832914126	165	165	0.279684652786125	0.849992110259515
T6	E1	yes	0.0398305116600569	0.0371385795567458	165	165	0.285088217864632	0.849992110259515
T17	E1	yes	0.0421698432742129	0.0322931782037951	165	165	0.193445652516921	0.849992110259515
T33	E1	yes	0.0534715782617758	0.0439887827252873	165	165	0.225905248606038	0.849992110259515
T35	E1	yes	0.0445798655102231	0.0332275890406103	165	165	0.18157494092402	0.849992110259515
T36	E1	yes	0.0446255208561313	0.0332234375609307	165	165	0.181076341424038	0.849992110259515
T44	E1	yes	0.0500813424380764	0.0503332340128061	165	165	0.321213217708895	0.849992110259515
T48	E1	yes	0.0353151948580128	0.0346895592452842	165	165	0.310169856362979	0.849992110259515
T50	E1	yes	0.0602216490592831	0.0418437789565379	165	165	0.15201088173	0.849992110259515
T55	E1	yes	0.0592277273989976	0.0446390628621772	165	165	0.186425999454437	0.849992110259515
T56	E1	yes	0.083620108140422	0.0570831645473263	165	165	0.144879212249975	0.849992110259515
T60	E1	yes	0.0573174112540239	0.0480848142243904	165	165	0.234991247831148	0.849992110259515
T64	E1	yes	0.0707967120842653	0.0501986448766967	165	165	0.160347373130743	0.849992110259515
T73	E1	yes	0.0414088781600412	0.0378550690727021	165	165	0.275621786094151	0.849992110259515
T74	E1	yes	0.0414088781600412	0.0378550690727021	165	165	0.275621786094151	0.849992110259515
T77	E1	yes	0.0799645328558058	0.0709850982353339	165	165	0.26161073783057	0.849992110259515
T85	E1	yes	-0.0370106493686807	0.0355058190236614	165	165	0.298777867353468	0.849992110259515
T86	E1	yes	0.0320798296059187	0.0333327245250853	165	165	0.337268008690325	0.849992110259515
T88	E1	yes	-0.0463263881921352	0.0389692401539642	165	165	0.236249871416238	0.849992110259515
T99	E1	yes	-0.0379521959858107	0.0386832594542045	165	165	0.327996754208068	0.849992110259515
T100	E1	yes	-0.0443433859038022	0.0411638884498831	165	165	0.282964783138158	0.849992110259515
T101	E1	yes	-0.0429386981810842	0.0436766615431989	165	165	0.327013263187357	0.849992110259515
T103	E1	yes	-0.0653977954058609	0.0510111912091857	165	165	0.201653124399423	0.849992110259515
T105	E1	yes	0.0808209893944257	0.0835595703231467	165	165	0.334863979717407	0.849992110259515
T110	E1	yes	-0.051995187445432	0.0486354998641144	165	165	0.286614747641455	0.849992110259515
T111	E1	yes	-0.0863161165599448	0.0612263509419297	165	165	0.160507763891995	0.849992110259515
T117	E1	yes	-0.0929010350391183	0.0735783171379689	165	164	0.208531173460697	0.849992110259515
T118	E1	yes	0.163162428341097	0.116194486039328	165	162	0.162156382136089	0.849992110259515
T120	E1	yes	-0.0920338433020295	0.082235839598799	165	165	0.264724698306786	0.849992110259515
T126	E1	yes	-0.126479526287684	0.0893799962302555	165	164	0.158953707090797	0.849992110259515
T129	E1	yes	-0.123415603301644	0.121627039439335	165	165	0.311750134773064	0.849992110259515
T132	E1	yes	-0.0490614284952081	0.0503931332184008	165	165	0.331710832324265	0.849992110259515
