feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T180	E1	yes	1.303816191802	0.229464937190276	23	23	1.22135746713307e-05	0.00519076923531555
T16	E1	yes	-0.1888956255716	0.0817075545528708	23	23	0.0310219704875723	0.751913118598626
T28	E1	yes	-0.216791429011104	0.105684110235313	23	23	0.0529178204575342	0.751913118598626
T57	E1	yes	-0.260586671155139	0.116348658460131	23	23	0.0360590015578488	0.751913118598626
T69	E1	yes	0.341362367973021	0.132325736095693	23	23	0.017474407361064	0.751913118598626
T99	E1	yes	0.213865863911583	0.104334002776322	23	23	0.0530762201363736	0.751913118598626
T108	E1	yes	0.236992580003251	0.106938241108815	23	23	0.0378579803241352	0.751913118598626
T154	E1	yes	-0.762172857796255	0.288904120578562	23	22	0.0153729975430974	0.751913118598626
T164	E1	yes	1.35580134373434	0.462907931276768	23	18	0.00802174911196718	0.751913118598626
T166	E1	yes	0.955270169473764	0.331109910966934	23	23	0.00885935782938532	0.751913118598626
T169	E1	yes	1.19268796522754	0.57234173450085	23	13	0.0495735022441323	0.751913118598626
T175	E1	yes	-0.490092298171265	0.234232381397894	23	21	0.0487362152619653	0.751913118598626
T192	E1	yes	-1.07404161909136	0.506141664477509	23	23	0.0458981097686042	0.751913118598626
T210	E1	yes	-1.18587604168082	0.531033550177337	23	20	0.0365521168863467	0.751913118598626
T273	E1	yes	2.32530062714045	1.06208718508277	23	9	0.0400047967358299	0.751913118598626
T285	E1	yes	1.72172395596862	0.764664313891617	23	11	0.0351794993588837	0.751913118598626
T299	E1	yes	1.54331322053709	0.730726443126924	23	11	0.0468363337203111	0.751913118598626
T307	E1	yes	1.96178667939747	0.822617341818761	23	11	0.0265935873103446	0.751913118598626
T310	E1	yes	1.74264217132313	0.84255565537824	23	13	0.0511506715794886	0.751913118598626
T320	E1	yes	2.16053549662354	0.807510214664525	23	15	0.0141557211113376	0.751913118598626
T321	E1	yes	1.78347817000088	0.766724467968563	23	11	0.0301069646595298	0.751913118598626
T323	E1	yes	2.08101592080337	0.825941924902667	23	11	0.0199170427637664	0.751913118598626
T324	E1	yes	0.970303867964052	0.410790726798293	23	20	0.027908684427591	0.751913118598626
T331	E1	yes	2.90833548574534	1.34424024486004	23	7	0.0421773292967269	0.751913118598626
T349	E1	yes	-1.48315425229827	0.602708551537193	23	10	0.0226085098887604	0.751913118598626
T424	E1	yes	3.18725758017991	1.36495354162503	23	8	0.029544058236263	0.751913118598626
T428	E1	yes	1.94803419716421	0.934027124985758	23	8	0.0493987191012673	0.751913118598626
T435	E1	yes	-3.75446400439784	1.57923991825187	23	2	0.0270159059139724	0.751913118598626
T450	E1	yes	-3.22934130156466	1.5583267144236	23	2	0.0507385745549463	0.751913118598626
T451	E1	yes	-3.22934130156466	1.5583267144236	23	2	0.0507385745549463	0.751913118598626
T75	E1	yes	0.145369174293718	0.0728138435795014	23	23	0.0590125550360958	0.794746763532087
T113	E1	yes	0.316244983031914	0.1624669866128	23	23	0.0650941315892404	0.794746763532087
T179	E1	yes	0.50316749797517	0.260806538515346	23	23	0.0673197258521297	0.794746763532087
T209	E1	yes	0.782206188667601	0.404598822310549	23	21	0.066795798947842	0.794746763532087
T241	E1	yes	0.945419774247584	0.487213445335193	23	21	0.0658681440490288	0.794746763532087
T243	E1	yes	-0.700990586022009	0.358098069792147	23	21	0.0637061595981119	0.794746763532087
T9	E1	yes	-0.144706275879603	0.0757250897373145	23	23	0.0697592522847151	0.801288708675781
T6	E1	yes	-0.130918788604016	0.0705989295532348	23	23	0.0777794217098047	0.807825910791884
T25	E1	yes	-0.124471359971714	0.0698175468219227	23	23	0.0890808742778855	0.807825910791884
T54	E1	yes	0.17402181001595	0.0976944942236734	23	23	0.0893360418993378	0.807825910791884
T159	E1	yes	0.950799053379416	0.529279773747369	23	22	0.0868318673218518	0.807825910791884
T185	E1	yes	-0.743839847538936	0.416510124962888	23	22	0.0885673183119771	0.807825910791884
T211	E1	yes	0.727673247120554	0.408206164936954	23	21	0.0891138422864822	0.807825910791884
T253	E1	yes	1.51304062094127	0.818482543915416	23	13	0.0786474771251467	0.807825910791884
T318	E1	yes	2.00738744407816	1.09405009843347	23	10	0.0807388514831219	0.807825910791884
T354	E1	yes	0.72156717329418	0.389486259826457	23	20	0.0780458751085028	0.807825910791884
T361	E1	yes	-1.37155008608245	0.747614675293907	23	7	0.080777888677363	0.807825910791884
T5	E1	yes	-0.13497073352611	0.0788552633504938	23	23	0.101696697146008	0.830973306977074
T15	E1	yes	-0.126593046164715	0.0748528179530087	23	23	0.105582490768852	0.830973306977074
T17	E1	yes	-0.130983793483317	0.0756064184657806	23	23	0.0978580709110057	0.830973306977074
T60	E1	yes	-0.187372982574067	0.107673289997715	23	23	0.0964598309691439	0.830973306977074
T309	E1	yes	0.872531534652698	0.513736586490854	23	21	0.104201360836796	0.830973306977074
T313	E1	yes	0.844290753369767	0.495643510628513	23	19	0.103244249471861	0.830973306977074
T381	E1	yes	1.78507223630761	1.04274109001059	23	7	0.10164470553779	0.830973306977074
T93	E1	yes	0.357987263933908	0.217317112642713	23	23	0.114378899975676	0.880306827434577
T220	E1	yes	-0.623037278318057	0.382291317897986	23	19	0.118064680385343	0.880306827434577
T221	E1	yes	0.745544668794162	0.455125507273356	23	21	0.116296897369705	0.880306827434577
