feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
T246	E1	yes	1.78827123628	0.331116744052613	20	20	3.93283001730816e-05	0.0171471388754636
T231	E1	yes	1.19993684734032	0.297472646378673	20	20	0.000778985586717519	0.0378741536379988
T254	E1	yes	2.44927185176535	0.627434704709279	20	12	0.00104096598091877	0.0378741536379988
T271	E1	yes	2.39580901863256	0.629999103649973	20	14	0.00130300987286693	0.0378741536379988
T272	E1	yes	2.39580901863256	0.629999103649973	20	14	0.00130300987286693	0.0378741536379988
T311	E1	yes	2.92172652190259	0.764949242533643	20	11	0.00125561297507313	0.0378741536379988
T324	E1	yes	2.72173281164953	0.651310057787362	20	14	0.000564103140039332	0.0378741536379988
T337	E1	yes	3.67423335476572	0.887135297357608	20	9	0.000612699786171471	0.0378741536379988
T350	E1	yes	4.17755110848463	1.0596941163823	20	7	0.000955184790007241	0.0378741536379988
T355	E1	yes	4.24742505796042	1.06132883830443	20	7	0.000836119456888019	0.0378741536379988
T356	E1	yes	4.24742505796042	1.06132883830443	20	7	0.000836119456888019	0.0378741536379988
T357	E1	yes	4.24742505796042	1.06132883830443	20	7	0.000836119456888019	0.0378741536379988
T358	E1	yes	4.24742505796042	1.06132883830443	20	7	0.000836119456888019	0.0378741536379988
T367	E1	yes	5.90204617625179	1.52772658252286	20	7	0.0011388851836228	0.0378741536379988
T368	E1	yes	5.90204617625179	1.52772658252286	20	7	0.0011388851836228	0.0378741536379988
T379	E1	yes	4.29399489979867	1.14670079385576	20	7	0.00148351620400263	0.0404258165590717
T236	E1	yes	1.7687347243351	0.484961206111127	20	18	0.00184321969708141	0.044646877107083
T424	E1	yes	5.24013736174066	1.43638810102708	20	6	0.00183925518395123	0.044646877107083
T265	E1	yes	2.93760705357369	0.837434297363099	20	10	0.00251245866216313	0.0569709681227286
T327	E1	yes	3.84009294554975	1.10027092558176	20	7	0.00261334716159306	0.0569709681227286
T198	E1	yes	1.45485154214113	0.433818765269393	20	19	0.00353671501491321	0.059307990250083
T200	E1	yes	1.42899264238463	0.422478167846076	20	18	0.00331828852963449	0.059307990250083
T206	E1	yes	1.48738550797595	0.440252993786927	20	19	0.00334725560530026	0.059307990250083
T257	E1	yes	1.57097862315662	0.468092579901929	20	20	0.00351694162152204	0.059307990250083
T264	E1	yes	2.18339116755092	0.633233821572286	20	14	0.0028694317092567	0.059307990250083
T301	E1	yes	2.90216137232576	0.863900534701548	20	10	0.00349181474661688	0.059307990250083
T58	E1	yes	-0.188557354888295	0.058168470466283	20	20	0.00452869393260154	0.0656837987293698
T72	E1	yes	-0.19293989868598	0.0608184169994822	20	20	0.00527278200809161	0.0656837987293698
T97	E1	yes	0.438309145745776	0.137298662314812	20	20	0.0050463310550662	0.0656837987293698
T190	E1	yes	1.28118182614792	0.393994062568627	20	18	0.00442801602590492	0.0656837987293698
T255	E1	yes	2.66390483357749	0.839127153825624	20	10	0.00524712794861401	0.0656837987293698
T286	E1	yes	1.65825814798091	0.507694015555622	20	17	0.00428898291180428	0.0656837987293698
T287	E1	yes	2.22961048361886	0.691454770842433	20	12	0.00470193240879376	0.0656837987293698
T296	E1	yes	2.5308908548884	0.783976179521909	20	9	0.0046632437266544	0.0656837987293698
T339	E1	yes	4.00165012548916	1.2503594730834	20	7	0.00495813116433056	0.0656837987293698
T177	E1	yes	0.904198809811728	0.287540698667676	20	19	0.00560437633620907	0.0678752245163098
T250	E1	yes	2.57141997902145	0.829213405074909	20	10	0.00616534167615962	0.0726510532650161
T270	E1	yes	1.55877868731932	0.506260574009934	20	17	0.00646955189657982	0.0742295954449685
T234	E1	yes	2.58555990479873	0.851932003676584	20	10	0.00712256357169381	0.0776359429314625
T276	E1	yes	2.25369854264119	0.741452287620542	20	12	0.00705095048533609	0.0776359429314625
T351	E1	yes	2.69575649124181	0.895248167802049	20	7	0.00750069702854741	0.079763509864553
T208	E1	yes	1.00332435906181	0.336834773704979	20	19	0.00804978838871159	0.0835644699399585
T233	E1	yes	0.887578121751491	0.299153946514421	20	20	0.00825726550457836	0.0837248316278178
T212	E1	yes	2.31918338394358	0.789516624207691	20	10	0.00880233900359218	0.0872231773992316
T114	E1	yes	0.881982635113415	0.305296094647429	20	20	0.00977601822019126	0.0927451319222032
T210	E1	yes	1.26041140885815	0.450843066192041	20	20	0.011946872883323	0.0927451319222032
T223	E1	yes	1.74762366819785	0.614213676017706	20	13	0.0107397267573768	0.0927451319222032
T244	E1	yes	1.64987244101142	0.586529526784993	20	13	0.0115128438833187	0.0927451319222032
T259	E1	yes	2.45511320398275	0.851897294965216	20	10	0.00992490655479531	0.0927451319222032
T260	E1	yes	2.44795720537734	0.868390967221947	20	8	0.0113651533943169	0.0927451319222032
T262	E1	yes	1.52271076047314	0.539013995020669	20	15	0.0112188481452078	0.0927451319222032
T268	E1	yes	2.99077911761202	1.05085890715347	20	7	0.0107228646482314	0.0927451319222032
T269	E1	yes	2.03095427931281	0.72552759461613	20	12	0.0118550207716478	0.0927451319222032
T283	E1	yes	1.8283624020227	0.6439143991104	20	12	0.0108757453701715	0.0927451319222032
T284	E1	yes	1.8283624020227	0.6439143991104	20	12	0.0108757453701715	0.0927451319222032
T294	E1	yes	2.0776377001141	0.729765856911269	20	15	0.0107007636837782	0.0927451319222032
T331	E1	yes	3.06899587086481	1.1035340603589	20	8	0.0123265681860663	0.0927451319222032
T430	E1	yes	3.00342394205901	1.08011924977607	20	5	0.0123376551639628	0.0927451319222032
T298	E1	yes	2.45387277167732	0.890508208760583	20	8	0.0130162196057011	0.0961876567472147
T183	E1	yes	0.862946944584819	0.317680537374398	20	18	0.0141498050924658	0.102821917005252
T238	E1	yes	2.28451917345263	0.850573984054751	20	8	0.0150981433859531	0.102960740542041
T239	E1	yes	2.28332311413094	0.850280448937561	20	8	0.0151135031988317	0.102960740542041
T243	E1	yes	0.824473941003438	0.304828399425377	20	19	0.0145056513540111	0.102960740542041
T371	E1	yes	2.90847783076526	1.08263224128277	20	9	0.0150779372084142	0.102960740542041
T336	E1	yes	2.90388963527358	1.08657001533927	20	8	0.0155306929714631	0.104175109777814
T140	E1	yes	0.780836164301266	0.295300785090615	20	20	0.0164894934609017	0.108915111113863
T304	E1	yes	1.97039055310037	0.747166365281612	20	10	0.0167369551482312	0.108915111113863
T359	E1	yes	2.97082276878179	1.14213244504115	20	6	0.0180568281464651	0.115776133409688
T40	E1	yes	-0.183038275085378	0.0716345153237843	20	20	0.0198836605533188	0.125641681177493
T280	E1	yes	1.54617513564442	0.61446741969257	20	12	0.021564812580463	0.134317975501169
T261	E1	yes	1.79858078414311	0.717578800222945	20	10	0.0220104703492118	0.135162888341639
T30	E1	yes	-0.207466833151996	0.0835397853991314	20	20	0.0230880340084796	0.138228591085962
T193	E1	yes	0.746232113637521	0.302210586166552	20	20	0.0237778539712091	0.138228591085962
T230	E1	yes	1.5497483090501	0.626245150841987	20	12	0.0235122908122384	0.138228591085962
T235	E1	yes	2.38710397748601	0.962274090557876	20	6	0.0232205422127345	0.138228591085962
T195	E1	yes	-1.74318043069784	0.714208434160602	20	10	0.0252222919568684	0.144696306489403
T148	E1	yes	0.754996608764095	0.312202519099764	20	20	0.0264150761287055	0.149571080417086
T120	E1	yes	0.479784281767114	0.199168202862649	20	20	0.0269278899704706	0.149996057636484
T384	E1	yes	4.29741650869079	1.78728637767628	20	3	0.0271781847552345	0.149996057636484
T81	E1	yes	-0.227531461708847	0.0957223123389898	20	20	0.0287508644934703	0.152870450233574
T415	E1	yes	2.13358472308786	0.897477233120129	20	8	0.0287321370420001	0.152870450233574
T441	E1	yes	-1.62604367810345	0.683698281127695	20	10	0.028673843488666	0.152870450233574
T328	E1	yes	2.62297569233763	1.11540042432136	20	6	0.0302815539113657	0.159069367534403
T216	E1	yes	-0.444790965178326	0.189981998556874	20	20	0.0309283677977267	0.160532956664391
T237	E1	yes	1.63760984114826	0.701507609548841	20	10	0.0313600937699162	0.160858833925688
T31	E1	yes	-0.17742284750576	0.0769471589683302	20	20	0.0332372130010128	0.166267301077323
T34	E1	yes	-0.181499442357041	0.0788776926944233	20	20	0.0335585378321203	0.166267301077323
T227	E1	yes	-0.453284853869309	0.196094472316148	20	20	0.0328496115060965	0.166267301077323
T175	E1	yes	0.597802893094268	0.260809075411126	20	19	0.0341691805402009	0.167390592309299
T62	E1	yes	-0.576548175171901	0.252314275620351	20	20	0.0346607360871452	0.167912010377726
T309	E1	yes	1.34284418955198	0.590717863167343	20	13	0.0354957340940161	0.170067473241659
T42	E1	yes	-0.174386461559405	0.076996760789384	20	20	0.0361005364918354	0.171085151200437
T247	E1	yes	1.50831884624184	0.672395821461315	20	11	0.0377063797240236	0.176773995265315
T75	E1	yes	-0.192449013382763	0.0864949749794724	20	20	0.0391089294325489	0.181398864176503
T10	E1	yes	-0.181047893094127	0.0820801151099397	20	20	0.0406403382399374	0.184574869506382
T12	E1	yes	-0.181047893094127	0.0820801151099397	20	20	0.0406403382399374	0.184574869506382
T11	E1	yes	-0.162779749993501	0.0740597988871216	20	20	0.0412768209870752	0.185532927323348
T303	E1	yes	0.945798600939553	0.431983647841348	20	20	0.0419827733750339	0.186780501954232
T224	E1	yes	1.34128396622861	0.619865052386517	20	12	0.0441713635222873	0.186977810638032
T225	E1	yes	1.34128396622861	0.619865052386517	20	12	0.0441713635222873	0.186977810638032
T226	E1	yes	1.34128396622861	0.619865052386517	20	12	0.0441713635222873	0.186977810638032
T285	E1	yes	-0.870224639060517	0.399150392806888	20	17	0.0427609350252431	0.186977810638032
T318	E1	yes	2.16879486951306	0.99810522466261	20	9	0.0433834059969429	0.186977810638032
T106	E1	yes	0.356288710350524	0.165808974240383	20	20	0.045505579089003	0.190773389257743
T207	E1	yes	0.611422506033367	0.286357916756749	20	20	0.0467454559169799	0.194104940760031
T202	E1	yes	0.91062040462794	0.428068615720303	20	16	0.0474778567732262	0.195286278803081
T222	E1	yes	1.3450450750969	0.645029833098486	20	11	0.0515574996581198	0.210084764962058
T249	E1	yes	1.98819972563585	0.956694488006203	20	6	0.0522719055509416	0.211023618705653
T218	E1	yes	-1.24895758201141	0.603591373895643	20	13	0.0531958805299671	0.212063028171687
T378	E1	yes	2.73795927479649	1.32507786190013	20	5	0.0535021401350587	0.212063028171687
T323	E1	yes	-0.972741725271328	0.473495681731515	20	17	0.0547527058881098	0.21506468258753
T426	E1	yes	3.43539308134091	1.67714600590396	20	3	0.0553972248081671	0.215653482288936
T173	E1	yes	0.508105979658317	0.249627965455453	20	20	0.0568002393463756	0.219158445619644
T387	E1	yes	2.38480873490461	1.180413228499	20	5	0.0584867889676581	0.221741217303469
T388	E1	yes	2.38480873490461	1.180413228499	20	5	0.0584867889676581	0.221741217303469
T146	E1	yes	0.680620821963198	0.338972881474607	20	20	0.0599048358542372	0.223558818064091
T240	E1	yes	0.587459243049983	0.292684859299604	20	20	0.0599917011777493	0.223558818064091
T263	E1	yes	-1.26116258378871	0.629774613884263	20	11	0.0605225360750585	0.22362564176886
T37	E1	yes	-0.202404762349325	0.102223634036631	20	20	0.0631988330410135	0.230218931223127
T128	E1	yes	0.317061833900977	0.160592256473514	20	20	0.0638910336651339	0.230218931223127
T315	E1	yes	2.18003767898054	1.10297372556271	20	7	0.0636249707045421	0.230218931223127
T39	E1	yes	-0.189188114595773	0.0966272077180792	20	20	0.0659252464628624	0.230420582543668
T421	E1	yes	18.7642441614823	9.57397992683097	20	6	0.0656738533226887	0.230420582543668
T422	E1	yes	18.7642441614823	9.57397992683097	20	6	0.0656738533226887	0.230420582543668
T428	E1	yes	-1.06592804185463	0.544719312931411	20	14	0.06606094683018	0.230420582543668
T28	E1	yes	-0.1992019957836	0.104012980224909	20	20	0.0714989217910484	0.24165527054959
T96	E1	yes	0.349718614599781	0.182348397027432	20	20	0.0711356024009889	0.24165527054959
T204	E1	yes	0.912055323810352	0.474956428265496	20	15	0.0708089778174286	0.24165527054959
T380	E1	yes	2.41213537235438	1.25481124132186	20	5	0.0705392567017194	0.24165527054959
T248	E1	yes	-1.22697492096422	0.644026262743033	20	11	0.0728618711466051	0.244367506307075
