feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
POLYAMINSYN3.PWY..superpathway.of.polyamine.biosynthesis.II	antibiotics_current_use	yes	-2.06556678108618	0.513242440251463	136	73	9.78576820070074e-05	0.106567015705631
BIOTIN.BIOSYNTHESIS.PWY..biotin.biosynthesis.I	antibiotics_current_use	yes	-1.31075949600155	0.392733118178573	136	128	0.00111148060082723	0.366518271374202
PWYG.321..mycolate.biosynthesis	antibiotics_current_use	yes	-1.39214015469954	0.424542003648543	136	128	0.00134625627685657	0.366518271374202
PWY.6519..8.amino.7.oxononanoate.biosynthesis.I	antibiotics_current_use	yes	-1.36653891334411	0.410863803326141	136	128	0.00115453170473482	0.366518271374202
PWY.3001..superpathway.of.L.isoleucine.biosynthesis.I	disease	IBD	-0.401224737979984	0.154569180338771	136	133	0.0105587399332779	0.41583150319992
BRANCHED.CHAIN.AA.SYN.PWY..superpathway.of.branched.amino.acid.biosynthesis	disease	IBD	-0.406704744888377	0.157031893894604	136	134	0.0107292877845208	0.41583150319992
PWY.5103..L.isoleucine.biosynthesis.III	disease	IBD	-0.429305024926853	0.163210529593877	136	134	0.00959255348997288	0.41583150319992
FASYN.ELONG.PWY..fatty.acid.elongation....saturated	antibiotics_current_use	yes	-1.07169254968254	0.410988652294309	136	129	0.0102189572744952	0.41583150319992
PWY.7664..oleate.biosynthesis.IV..anaerobic.	antibiotics_current_use	yes	-1.07824554719704	0.418945390334485	136	129	0.0112189630064725	0.41583150319992
PWY.7388..octanoyl..acyl.carrier.protein..biosynthesis..mitochondria..yeast.	antibiotics_current_use	yes	-1.1442786356641	0.44088667969044	136	129	0.0105691898022531	0.41583150319992
PWY.6282..palmitoleate.biosynthesis.I..from..5Z..dodec.5.enoate.	antibiotics_current_use	yes	-1.0975540475593	0.427526916133361	136	129	0.0114204902430198	0.41583150319992
FASYN.INITIAL.PWY..superpathway.of.fatty.acid.biosynthesis.initiation..E..coli.	antibiotics_current_use	yes	-1.1404213336081	0.442996888106122	136	129	0.0111999390088472	0.41583150319992
GLUCONEO.PWY..gluconeogenesis.I	antibiotics_current_use	yes	-0.872150329455108	0.337720381976831	136	127	0.0109526565862821	0.41583150319992
PWY.6901..superpathway.of.glucose.and.xylose.degradation	antibiotics_current_use	yes	-0.963504185695911	0.322900870441836	136	125	0.00341882484183022	0.41583150319992
PWY.6353..purine.nucleotides.degradation.II..aerobic.	antibiotics_current_use	yes	-1.35552442685751	0.46533376391978	136	123	0.00423597274678544	0.41583150319992
PWY.7196..superpathway.of.pyrimidine.ribonucleosides.salvage	antibiotics_current_use	yes	-1.23185507955064	0.477734270195256	136	105	0.0110714679870664	0.41583150319992
HEXITOLDEGSUPER.PWY..superpathway.of.hexitol.degradation..bacteria.	antibiotics_current_use	yes	-1.42359207759022	0.509825094631603	136	117	0.00604956837937609	0.41583150319992
PWY.5104..L.isoleucine.biosynthesis.IV	age	age	0.501103221047193	0.182082091135358	136	127	0.00679635942071041	0.41583150319992
SALVADEHYPOX.PWY..adenosine.nucleotides.degradation.II	antibiotics_current_use	yes	-1.50429417569083	0.539325390816724	136	124	0.00610432440958991	0.41583150319992
PWY66.399..gluconeogenesis.III	disease	IBD	-1.04166330254732	0.404952415728621	136	103	0.0112622195849392	0.41583150319992
PWY66.399..gluconeogenesis.III	age	age	0.450488656609252	0.165840381160793	136	103	0.00752747241413119	0.41583150319992
PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.	age	age	0.581712334656465	0.200933877480056	136	108	0.00446987570752308	0.41583150319992
P108.PWY..pyruvate.fermentation.to.propanoate.I	antibiotics_current_use	yes	-1.34198092248838	0.428069858843434	136	121	0.00213899989421793	0.41583150319992
P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate	age	age	0.289805565101577	0.0976441735198279	136	17	0.00358861412649036	0.41583150319992
PWY0.1298..superpathway.of.pyrimidine.deoxyribonucleosides.degradation	antibiotics_current_use	yes	-1.58738338334745	0.618597449093178	136	96	0.0114554133112926	0.41583150319992
PWY.5304..superpathway.of.sulfur.oxidation..Acidianus.ambivalens.	disease	IBD	-1.5286818733783	0.585712173801917	136	99	0.0101524575081637	0.41583150319992
PRPP.PWY..superpathway.of.histidine..purine..and.pyrimidine.biosynthesis	antibiotics_current_use	yes	-1.23950720710568	0.443733630973968	136	103	0.00603122878297565	0.41583150319992
PWY.7234..inosine.5..phosphate.biosynthesis.III	disease	IBD	-1.12934291818042	0.412719461077806	136	120	0.00711034274124854	0.41583150319992
HEME.BIOSYNTHESIS.II..heme.biosynthesis.I..aerobic.	antibiotics_current_use	yes	-1.55291617978993	0.556890754134814	136	108	0.00611616762339071	0.41583150319992
P124.PWY..Bifidobacterium.shunt	disease	IBD	-1.03575200455412	0.360417967840051	136	28	0.00476227715882534	0.41583150319992
PWY.5177..glutaryl.CoA.degradation	antibiotics_current_use	yes	-1.03640359439662	0.406799870559273	136	128	0.0120455315564599	0.423147866612415
PWY.4041...gamma..glutamyl.cycle	age	age	0.54676347995987	0.216515171554941	136	122	0.0128008994883583	0.435630610713194
PWY0.862...5Z..dodec.5.enoate.biosynthesis	antibiotics_current_use	yes	-1.06833410530126	0.429025363134813	136	129	0.0140712673199677	0.452361529072821
PWY0.162..superpathway.of.pyrimidine.ribonucleotides.de.novo.biosynthesis	disease	IBD	-0.508004993678855	0.204764991147166	136	131	0.0144228248865037	0.452361529072821
PWY.6527..stachyose.degradation	antibiotics_current_use	yes	-0.956286365152093	0.385922954568977	136	130	0.0145387084642321	0.452361529072821
PWY.6606..guanosine.nucleotides.degradation.II	antibiotics_current_use	yes	-1.15080609342895	0.469754690234674	136	125	0.0156671253548489	0.461121608417038
P163.PWY..L.lysine.fermentation.to.acetate.and.butanoate	antibiotics_current_use	yes	0.685237098969759	0.278873790553788	136	17	0.015364617813913	0.461121608417038
PWY.5989..stearate.biosynthesis.II..bacteria.and.plants.	antibiotics_current_use	yes	-0.964240557762313	0.414621776434563	136	130	0.0216385293416782	0.556232765892991
PWY.6572..chondroitin.sulfate.degradation.I..bacterial.	disease	IBD	-1.05068140567978	0.446878924398572	136	88	0.0202669765153592	0.556232765892991
PWY.7383..anaerobic.energy.metabolism..invertebrates..cytosol.	disease	IBD	-1.14810742747185	0.490644428803955	136	108	0.0208557700871543	0.556232765892991
PWY.3781..aerobic.respiration.I..cytochrome.c.	disease	IBD	1.70351910037643	0.734355380916975	136	66	0.0219632772574827	0.556232765892991
PWY.7312..dTDP.D..beta..fucofuranose.biosynthesis	disease	IBD	-1.44601382058543	0.620992337201011	136	67	0.0214754931336023	0.556232765892991
PWY.5121..superpathway.of.geranylgeranyl.diphosphate.biosynthesis.II..via.MEP.	disease	IBD	-0.878621300541	0.374012670783545	136	38	0.0203703606357559	0.556232765892991
PWY.7663..gondoate.biosynthesis..anaerobic.	disease	IBD	-0.377733707545877	0.167291644722814	136	133	0.0256701556753756	0.558332166467362
PWY.6703..preQ0.biosynthesis	disease	IBD	-0.468935447540613	0.204006984753912	136	132	0.0231733084834483	0.558332166467362
THISYN.PWY..superpathway.of.thiamin.diphosphate.biosynthesis.I	antibiotics_current_use	yes	-0.499298578223851	0.22710450754316	136	132	0.0297366994078118	0.558332166467362
PWY0.1296..purine.ribonucleosides.degradation	antibiotics_current_use	yes	-0.957452914342927	0.427396783466535	136	130	0.0268303981476874	0.558332166467362
PWY.6305..putrescine.biosynthesis.IV	antibiotics_current_use	yes	-0.613162022890634	0.275115775229829	136	131	0.0276037743774944	0.558332166467362
PWY0.166..superpathway.of.pyrimidine.deoxyribonucleotides.de.novo.biosynthesis..E..coli.	disease	IBD	-0.45396371653492	0.202024325251621	136	130	0.0263752084494522	0.558332166467362
PWY.7187..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.II	disease	IBD	-0.450318759921661	0.198224131878118	136	131	0.0247962445445186	0.558332166467362
PWY.6608..guanosine.nucleotides.degradation.III	antibiotics_current_use	yes	-0.794626962389642	0.360599027039868	136	131	0.0293675188917569	0.558332166467362
PWY.5188..tetrapyrrole.biosynthesis.I..from.glutamate.	age	age	0.317003102152482	0.137956592531013	136	128	0.02321895941034	0.558332166467362
GALACT.GLUCUROCAT.PWY..superpathway.of.hexuronide.and.hexuronate.degradation	antibiotics_current_use	yes	-0.593691379145444	0.26901667825437	136	130	0.0291328560821211	0.558332166467362
GLUCARDEG.PWY..D.glucarate.degradation.I	antibiotics_current_use	yes	-1.45988423210746	0.661442652987167	136	81	0.0291165912928305	0.558332166467362
P162.PWY..L.glutamate.degradation.V..via.hydroxyglutarate.	antibiotics_current_use	yes	0.933475280901703	0.416513967400924	136	39	0.0267661072558097	0.558332166467362
PWY.7210..pyrimidine.deoxyribonucleotides.biosynthesis.from.CTP	age	age	-0.408700920882027	0.179382478524188	136	90	0.024387769133883	0.558332166467362
NONMEVIPP.PWY..methylerythritol.phosphate.pathway.I	disease	IBD	-0.756178043423694	0.342873759842406	136	38	0.029239195231999	0.558332166467362
PWY.7392..taxadiene.biosynthesis..engineered.	disease	IBD	-0.74027446215364	0.336058904633485	136	36	0.0294266390548874	0.558332166467362
PWY.1042..glycolysis.IV..plant.cytosol.	disease	IBD	-0.336396584341474	0.15838333829399	136	134	0.0356297368484612	0.5628115780863
PWY.5973..cis.vaccenate.biosynthesis	disease	IBD	-0.419124851214033	0.198359465967322	136	132	0.0365773825909379	0.5628115780863
PWY.7221..guanosine.ribonucleotides.de.novo.biosynthesis	disease	IBD	-0.329807467061886	0.154745656118126	136	134	0.0350076176865746	0.5628115780863
TRNA.CHARGING.PWY..tRNA.charging	disease	IBD	-0.348418020459277	0.163110963080129	136	133	0.0346069601989353	0.5628115780863
COA.PWY.1..coenzyme.A.biosynthesis.II..mammalian.	disease	IBD	-0.386908813619516	0.182055052552639	136	133	0.0355197909651265	0.5628115780863
THRESYN.PWY..superpathway.of.L.threonine.biosynthesis	disease	IBD	-0.3382142493738	0.160614453181363	136	133	0.037210682848681	0.5628115780863
PWY.7184..pyrimidine.deoxyribonucleotides.de.novo.biosynthesis.I	disease	IBD	-0.421234229090563	0.19611125686558	136	131	0.0336328032964056	0.5628115780863
PWY.7197..pyrimidine.deoxyribonucleotide.phosphorylation	disease	IBD	-0.443174490587619	0.209944535950043	136	131	0.0367561128603013	0.5628115780863
FAO.PWY..fatty.acid..beta..oxidation.I	disease	IBD	0.9910120753977	0.468876214327081	136	107	0.0365221069697445	0.5628115780863
