feature	Phocaeicola.vulgatus	Bacteroides.uniformis	Bacteroides.thetaiotaomicron	Faecalibacterium.prausnitzii	Roseburia.faecis	Bacteroides.caccae	Enterocloster.clostridioformis	Bacteroides.fragilis	Fusicatenibacter.saccharivorans	Flavonifractor.plautii	Dialister.invisus	Ruminococcus.bicirculans	Blautia.sp..CAG.257	X.Ruminococcus..gnavus	Dorea.longicatena	Anaerobutyricum.hallii	Enterocloster.bolteae	Eubacterium.sp..CAG.38	Lacrimispora.saccharolytica	Intestinimonas.butyriciproducens	Anaerostipes.hadrus	Anaerotignum.lactatifermentans	Ruthenibacterium.lactatiformans	Lawsonibacter.asaccharolyticus	Clostridium.bolteae.CAG.59	X.Clostridium..symbiosum	Anaerotruncus.colihominis	Agathobaculum.butyriciproducens	Escherichia.coli	Eisenbergiella.massiliensis	Enterocloster.citroniae	Bacteroides.stercoris	Monoglobus.pectinilyticus	Alistipes.putredinis	Parabacteroides.distasonis	Roseburia.hominis	Bifidobacterium.longum	X.Eubacterium..siraeum	Parabacteroides.merdae	Roseburia.inulinivorans	Bacteroides.cellulosilyticus	Bacteroides.ovatus	Blautia.wexlerae	Bifidobacterium.adolescentis	Lachnospira.eligens	X.Clostridium..leptum	Eggerthella.lenta	Bacteroides.xylanisolvens	Phocaeicola.dorei	Enterocloster.lavalensis	X.Eubacterium..rectale	Akkermansia.muciniphila	Acidaminococcus.intestini	X.Ruminococcus..torques	Bacteroides.salyersiae	Sellimonas.intestinalis	Bacteroides.faecis	Roseburia.intestinalis	Collinsella.aerofaciens	Bacteroides.intestinalis	Bacteroides.faecis.CAG.32	X.Ruminococcus..lactaris	Prevotella.copri	Eisenbergiella.tayi	Klebsiella.pneumoniae	Intestinibacter.bartlettii	Erysipelatoclostridium.ramosum	Barnesiella.intestinihominis	Blautia.obeum	Bacteroides.finegoldii	Parasutterella.excrementihominis	Phascolarctobacterium.faecium	Lachnospira.pectinoschiza	Clostridium.sp..CAG.58	Bilophila.wadsworthia	Turicimonas.muris	Proteobacteria.bacterium.CAG.139	Anaeromassilibacillus.sp..An250	Hungatella.hathewayi	Alistipes.finegoldii	Ruminococcus.bromii	Odoribacter.splanchnicus	Butyricimonas.virosa	Oscillibacter.sp..CAG.241	Alistipes.indistinctus	Coprococcus.comes	Gemmiger.formicilis	Holdemania.filiformis	Firmicutes.bacterium.CAG.83	Dorea.formicigenerans	Collinsella.intestinalis	Oscillibacter.sp..57_20	Firmicutes.bacterium.CAG.94	Dielma.fastidiosa	Roseburia.sp..CAG.471	X.Clostridium..innocuum	Haemophilus.parainfluenzae	Veillonella.dispar	Veillonella.parvula	Veillonella.infantium	Streptococcus.salivarius	Enterocloster.aldenensis	Veillonella.atypica	Phocaeicola.plebeius	Paraprevotella.xylaniphila	Bacteroides.eggerthii	Alistipes.shahii	Butyricimonas.synergistica	Haemophilus.sp..HMSC71H05	Eubacterium.ramulus	Coprobacter.fastidiosus	Lactobacillus.rogosae	Phocaeicola.massiliensis	Streptococcus.parasanguinis	Ruminococcaceae.bacterium.D16	Veillonella.sp..T11011.6	Klebsiella.variicola	Bacteroides.galacturonicus	Clostridium.sp..CAG.299	Eubacterium.ventriosum	Bifidobacterium.bifidum	Bifidobacterium.pseudocatenulatum	Coprococcus.eutactus	Eubacterium.sp..CAG.251	Phocaeicola.coprocola	Paraprevotella.clara	Coprococcus.catus
CSM5FZ3N_P	0.423452	0.3129744	0.0681155	0.05292	0.0501599	0.0276801	0.0167866	0.0084419	0.0069868	0.0066888	0.0059637	0.0035843	0.0022225	0.0022185	0.0021649	0.0016705	0.0012372	0.001141	0.0011127	0.0008742	0.0006553	0.0005526	0.0004619	0.0003714	0.0002042	0.0001202	0.0001082	3.51e-05	2.78e-05	2.19e-05	1.92e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5FZ3T_P	0.6813581	0	0.1355901	0	0.0024929	0	0.0149612	0.1108387	0	0.006273	0.0003344	0	3.59e-05	0	0.000402	0	0	0	0.0111002	0	0.0002371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0262277	0.0028864	0.0015143	0.0006919	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5FZ4E_P	0.0015372	0.3943736	0.0230213	0.0315531	0	0.0003421	0.0004849	0	0.0010442	0.0009501	0	0	5.54e-05	0.0027946	0.0011609	0.0060247	0	0.0005596	0.000413	0	0	0	0.0010426	0.000115	0	8.13e-05	0.0003899	0.0002369	0	0	0	0	0	0.0651298	0.0399447	0	0	0.0034085	0.0001212	0	0	0.1652267	0.0003034	0	0	0	0	0.0001661	0.1403921	1.31e-05	0	0	0.0522168	0	0.0075347	0	0	0	6.9e-06	0	0	0	0	0	0	0	0	0	0.0020361	0	0	0.002334	0	0.0015304	0.0009613	0	0	6.7e-05	0	0.0172139	0.0044859	0.0029386	0.0027637	0.002665	0.001497	0.0012589	9.83e-05	9.4e-05	7.29e-05	4.93e-05	2.34e-05	2.26e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5FZ4A_P	0.2647248	0.278589	1.23e-05	0.0065194	0	0.0292607	2.04e-05	0	0.0001282	0.0124108	0	0	0	0	0.0001812	0	0.0001436	0	3.78e-05	8.76e-05	0.0005596	0.0001783	0.0010943	0.0004533	0.0002988	0	1.07e-05	0	0	0.0002824	0	0.2923281	0	0	0.0218526	0	0.0001016	0	0.0166363	0.0012337	0.0004421	0.0339067	1.15e-05	0	0.0007424	0.0001035	0	0	0	0.000638	0.0031218	0.0005437	0	0	0	0	0.010119	0	0.0002567	0	0.0018583	0.0002652	0	0	0	0	0	0	0	0.008466	0.0047026	0.00334	0.0015854	0.0010328	0.0008502	0.0006224	0.0002323	1.4e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5MCUQ_P	2.09e-05	0.0764754	0.0232697	0.0619741	0	0	0.0005388	0.0021104	0.0016781	0.0021778	0	0.0051821	0	0.000713	0.0021231	0.000317	0.0002277	0	0	0.0081501	7.63e-05	0	0.0089399	0.0002667	0	0.0001582	0	7.32e-05	0.0076006	0.0001158	0.0001276	0.119803	0.0037498	0.0457282	0.0164884	2.6e-05	2.28e-05	0.0143536	0.0687404	0.0025025	0	0	0.0005946	0	0.0042946	0.000991	6.97e-05	0	0.308072	0.0005426	0.0019677	0.0061316	0	0	0	0	0.0518582	0.0020311	0.0014711	0.041201	0	0.0048807	0	0	0	0	0.0002579	0	0.0001035	0	0.0024132	0.0054857	0.0021535	0.0035433	0.0030675	0.0002463	0.0070795	0.0002235	0.0004399	0.012591	0.0054501	0	0.0008213	0.0015558	0	0	0	0	0.0060531	0.0013852	9.7e-06	0.0014144	0	0.0173602	0	0.0012858	0	0	0	0	0	5.57e-05	0	0	0	0	0	0.0015431	0	0.0005739	0	0	0	0	0.0005924	0	0	0	0.0017755	0	0	0	0	0	0	0	0
CSM5MCTZ_P	0.2406737	0.0525194	0.00235	0.1049334	0	0.0342249	0	0.0040196	7.68e-05	0.0008641	0	0.0020722	0	0	0.0023977	0.0001401	3.6e-06	0	0	2.58e-05	0.0226849	0	0.0003821	6.35e-05	0	0	0	0.0003231	0	1.92e-05	8.2e-06	0.0901654	0	0.0532638	0.001178	4.29e-05	0.0002604	0	0.0066471	0.011771	0.0009132	0.0175517	0	0.0002743	0.0123636	0	0	0.0014214	0.003827	2.6e-06	0.012587	0	0	0.0026065	0.0083285	0	0.0028455	4.86e-05	0.0009382	0	0.0023978	0.0035047	0	0	0	0	6.19e-05	0.0318652	0.0006315	0	0.0026251	0	0	0.0012972	9.39e-05	0	0.0001245	0	0	0.0020503	0	0.0039676	0.0001986	6.83e-05	0	0.0006344	0	0.0008496	7.55e-05	0.0025031	0	0.0112551	0	0.0003718	0	0	0.0004531	0	0	0	0	0	0	0.1397921	0.0192527	0.0013185	0.0007016	0.0003169	0.0001118	6.6e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5MCVB_P	0.0109193	0.0133883	0.0003407	0.0026344	0.000101	0.0197981	0	0	0	0.0003422	0	0	0	0.0008872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0710202	0	0	0	0	0.0039577	0.0031406	0	3.98e-05	0	0.0010805	0.0003515	0	0.0008294	2.78e-05	0	0.0002569	0	0	0	0.8387661	0	0.000178	0	0	0	0	0	0	0.0008366	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0007341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5MCU4_P	7.69e-05	0.0001189	0	7.78e-05	0.0039997	0	0	0	0	0.0506473	0	0.0080355	0.0002422	0.0024711	0	0	0.0109495	0	0.0113874	8.59e-05	0	0.0254233	0.0008652	0	0.0346338	0.006024	0	0.0010512	0	0	0	0	0.0002855	0	0	0.0132266	0	0	0	0.0026775	0	0	0	0	0.0061284	0	2.82e-05	0	0.7394198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003864	0	0	0	0	0.0008061	0	0.0160252	0.0014037	0	0	0	0.0004564	0.0009287	0	0	0	0	0.0279924	0	0	0	0	0.0001251	0.0013961	0.0005636	0	0	0	0.0018969	0.0015084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0268514	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSM5MCWA_P	0.0559182	0.0093353	0.0019525	0.0065437	0.0275616	0.0031026	0	0.0001951	0.0266532	0.1159495	0.0016352	0	0	0.0066551	0.0004903	1.1e-05	0	0	0	0	0.0004186	0	0.0001879	0	0	0	0	0	0.156315	0	0	0.0096256	0	0.0033274	0.0033044	2.33e-05	0.0024347	0.0019957	0.00069	0.0001274	0	0.0017974	0.0002709	0.0005422	0.0002966	0.000125	0.0003659	0.0026723	0.0009926	0	0.0032979	0.0057545	0	5.18e-05	0.0001527	0	0	0.0905693	0.0002321	0.0008152	0	0.0004647	0.036844	0	0.0021566	8.19e-05	9.13e-05	0	1.59e-05	0.0029594	0.0006141	6.12e-05	0.0551949	0	0	0	0.0002971	0	0.0273567	0.0007575	9.33e-05	0.0003969	0	0	0	2.88e-05	0	0	0	0	0	0	0	0	0	0.0011332	0	0	0.3066187	0	0	0	1.7e-05	0	0	0.0003479	0	0	0	0	0	0.0006946	0.0009063	0	0	0	0.0004602	0	0	0	0.0012915	0	0	0	0	0	0
CSM5MCWK_P	0.3421063	0.0883773	0.0909234	0.0593656	0.0290363	0.0402102	0	0	0.0001086	0.0024418	0	0	0	4.68e-05	3.47e-05	0	6.53e-05	0.0036456	0	0.0060114	2.56e-05	9e-05	0.0002002	0.0006267	0	0	6.8e-06	0	0.0004614	0	0	0.0128627	0	0.1119891	0.0215566	0.0007445	0	0.0193659	0.0067788	0.0043736	0.0736777	9.03e-05	0	0	0.0018512	0.0001147	0	0.0125392	0	0.000223	0.0052441	0	0	0.0017453	0	0	0	0.008019	9.22e-05	0.0030803	0	0	0	0	0.0003994	0	0	0.0083779	0	0	0.0053585	0.0047614	0	0.0005346	0.0013057	2.9e-05	0.000195	0	0	0.0015634	0.0012931	0.0100513	0	0	0	2.39e-05	1e-05	0.0001499	0	0.0001111	0	0.0126499	0	0	0	0	0.0002758	4.18e-05	0	2.8e-05	9.45e-05	2.02e-05	0	0	0	0	0	0	0	0	0	0	0	0.0001125	0	0	5.3e-05	0	0	0.0002787	0	0	0	0	0	0	0
