feature	Phocaeicola.vulgatus	Bacteroides.uniformis	Bacteroides.thetaiotaomicron	Faecalibacterium.prausnitzii	Roseburia.faecis	Bacteroides.caccae	Enterocloster.clostridioformis	Bacteroides.fragilis	Fusicatenibacter.saccharivorans	Flavonifractor.plautii	Dialister.invisus	Ruminococcus.bicirculans	Blautia.sp..CAG.257	X.Ruminococcus..gnavus	Dorea.longicatena	Anaerobutyricum.hallii	Enterocloster.bolteae	Eubacterium.sp..CAG.38	Lacrimispora.saccharolytica	Intestinimonas.butyriciproducens	Anaerostipes.hadrus	Anaerotignum.lactatifermentans	Ruthenibacterium.lactatiformans	Lawsonibacter.asaccharolyticus	Clostridium.bolteae.CAG.59	X.Clostridium..symbiosum	Anaerotruncus.colihominis	Agathobaculum.butyriciproducens	Escherichia.coli	Eisenbergiella.massiliensis	Enterocloster.citroniae	Bacteroides.stercoris	Monoglobus.pectinilyticus	Alistipes.putredinis	Parabacteroides.distasonis	Roseburia.hominis	Bifidobacterium.longum	X.Eubacterium..siraeum	Parabacteroides.merdae	Roseburia.inulinivorans	Bacteroides.cellulosilyticus	Bacteroides.ovatus	Blautia.wexlerae	Bifidobacterium.adolescentis	Lachnospira.eligens	X.Clostridium..leptum	Eggerthella.lenta	Bacteroides.xylanisolvens	Phocaeicola.dorei	Enterocloster.lavalensis	X.Eubacterium..rectale	Akkermansia.muciniphila	Acidaminococcus.intestini	X.Ruminococcus..torques	Bacteroides.salyersiae	Sellimonas.intestinalis	Bacteroides.faecis	Roseburia.intestinalis	Collinsella.aerofaciens	Bacteroides.intestinalis	Bacteroides.faecis.CAG.32	X.Ruminococcus..lactaris	Prevotella.copri	Eisenbergiella.tayi	Klebsiella.pneumoniae	Intestinibacter.bartlettii	Erysipelatoclostridium.ramosum	Barnesiella.intestinihominis	Blautia.obeum	Bacteroides.finegoldii	Parasutterella.excrementihominis	Phascolarctobacterium.faecium	Lachnospira.pectinoschiza	Clostridium.sp..CAG.58	Bilophila.wadsworthia	Turicimonas.muris	Proteobacteria.bacterium.CAG.139	Anaeromassilibacillus.sp..An250	Hungatella.hathewayi	Alistipes.finegoldii	Ruminococcus.bromii	Odoribacter.splanchnicus	Butyricimonas.virosa	Oscillibacter.sp..CAG.241	Alistipes.indistinctus	Coprococcus.comes	Gemmiger.formicilis	Holdemania.filiformis	Firmicutes.bacterium.CAG.83	Dorea.formicigenerans	Collinsella.intestinalis	Oscillibacter.sp..57_20	Firmicutes.bacterium.CAG.94	Dielma.fastidiosa	Roseburia.sp..CAG.471	X.Clostridium..innocuum	Haemophilus.parainfluenzae	Veillonella.dispar	Veillonella.parvula	Veillonella.infantium	Streptococcus.salivarius	Enterocloster.aldenensis	Veillonella.atypica	Phocaeicola.plebeius	Paraprevotella.xylaniphila	Bacteroides.eggerthii	Alistipes.shahii	Butyricimonas.synergistica	Haemophilus.sp..HMSC71H05	Eubacterium.ramulus	Coprobacter.fastidiosus	Lactobacillus.rogosae	Phocaeicola.massiliensis	Streptococcus.parasanguinis	Ruminococcaceae.bacterium.D16	Veillonella.sp..T11011.6	Klebsiella.variicola	Bacteroides.galacturonicus	Clostridium.sp..CAG.299	Eubacterium.ventriosum	Bifidobacterium.bifidum	Bifidobacterium.pseudocatenulatum	Coprococcus.eutactus	Eubacterium.sp..CAG.251	Phocaeicola.coprocola	Paraprevotella.clara	Coprococcus.catus
CSM5FZ3N_P	-1.23972965139048	-1.67588343933806	-3.87587306218822	-4.24004312815813	-4.31732171782393	-5.17500703476094	-5.89654613697789	-6.8882165449612	-7.16115244153512	-7.22403687638657	-7.38957659903908	-8.12409289101683	-8.81360086560704	-8.81619973150395	-8.85148389843344	-9.2255043019892	-9.65870554612227	-9.77548549303549	-9.81171961098737	-10.1597490014259	-10.5755568478214	-10.821476817399	-11.0801318333625	-11.3947385642761	-12.2577295133337	-13.0222754835004	-13.1740118803847	-14.798169443907	-15.134555591488	-15.4787096046104	-15.6685341634904	-16.7221152036952	-18.6387868200963	-16.5669961370283	-16.0986785551594	-18.5255762096483	-17.155464581251	-16.005569150768	-16.7143378531035	-15.9867101235166	-16.5881607470264	-15.7299347081545	-18.3708536148497	-17.5120296778104	-16.0538243193752	-18.346606068603	-16.1139453118127	-16.395515669084	-17.7457020240128	-19.5530569460704	-15.9047685099805	-16.9867101235166	-16.2422694087883	-17.7616435678819	-19.2993003538247	-18.6685341634904	-14.9293161175928	-16.2311288511831	-18.1449722074334	-16.1766810671607	-14.7596412149707	-15.6461663504619	-16.3831319446281	-14.8064134380019	-14.2705030895172	-16.9497159160344	-17.58107132224	-14.3908593066527	-17.8959446595935	-18.0440432985826	-18.1242136472666	-17.5392511465454	-15.9497159160344	-18.2534966642115	-17.5952851814597	-17.4721369506869	-17.2762167407116	-18.1874074737538	-16.2705030895172	-19.0440432985826	-14.3877633933598	-15.0246779737157	-15.2705030895172	-18.8611792414328	-17.2877123795495	-17.3346334269369	-17.6096404744368	-18.2091025448531	-16.7299347081545	-18.1660338229612	-17.8784572328646	-16.4333177017963	-16.5952851814597	-19.0835716627692	-19.2993003538247	-19.2993003538247	-17.5530569460704	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-16.5952851814597	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-15.0416083696655	-16.7457020240128	-15.2506816486045	-17.5255762096483	-18.4206066500468	-16.1088384213797	-15.5495930907669	-15.9588759153199	-16.4721369506869	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5FZ3T_P	-0.553514863010519	-14.0379636644659	-2.88267624976348	-14.6498703192253	-8.64795927283053	-16.0538243193752	-6.06263029498913	-3.1734663998734	-16.9588759153199	-7.31662872201344	-11.5461375321307	-17.6241400441319	-14.7656566303885	-16.5669961370283	-11.2805168781452	-19.346606068603	-19.0835716627692	-17.134555591488	-6.49327051892828	-20.346606068603	-12.0422167167295	-16.8105531683628	-18.7299347081545	-18.6387868200963	-18.6685341634904	-18.4721369506869	-19.0440432985826	-19.0440432985826	-16.134555591488	-17.0343281437494	-17.8959446595935	-16.7221152036952	-18.6387868200963	-16.5669961370283	-16.0986785551594	-18.5255762096483	-17.155464581251	-16.005569150768	-16.7143378531035	-15.9867101235166	-16.5881607470264	-15.7299347081545	-18.3708536148497	-17.5120296778104	-16.0538243193752	-18.346606068603	-16.1139453118127	-5.2527648916679	-8.43651304095616	-9.36713323677748	-10.4971488386949	-16.9867101235166	-16.2422694087883	-17.7616435678819	-19.2993003538247	-18.6685341634904	-14.9293161175928	-16.2311288511831	-18.1449722074334	-16.1766810671607	-14.7596412149707	-15.6461663504619	-16.3831319446281	-14.8064134380019	-14.2705030895172	-16.9497159160344	-17.58107132224	-14.3908593066527	-17.8959446595935	-18.0440432985826	-18.1242136472666	-17.5392511465454	-15.9497159160344	-18.2534966642115	-17.5952851814597	-17.4721369506869	-17.2762167407116	-18.1874074737538	-16.2705030895172	-19.0440432985826	-14.3877633933598	-15.0246779737157	-15.2705030895172	-18.8611792414328	-17.2877123795495	-17.3346334269369	-17.6096404744368	-18.2091025448531	-16.7299347081545	-18.1660338229612	-17.8784572328646	-16.4333177017963	-16.5952851814597	-19.0835716627692	-19.2993003538247	-19.2993003538247	-17.5530569460704	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-16.5952851814597	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-15.0416083696655	-16.7457020240128	-15.2506816486045	-17.5255762096483	-18.4206066500468	-16.1088384213797	-15.5495930907669	-15.9588759153199	-16.4721369506869	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5FZ4E_P	-9.34547940314873	-1.34236511625434	-5.44088688581814	-4.9860744370258	-15.2009286134074	-11.5132942754436	-11.0100251258152	-15.346606068603	-9.90338622086361	-10.0396330114622	-16.9315685693242	-17.6241400441319	-14.1397544981623	-8.48314248435351	-9.75054058094922	-7.3748948805457	-19.0835716627692	-10.8033164170468	-11.2415705979047	-20.346606068603	-16.3647534153133	-16.8105531683628	-9.90559851961552	-13.0860785183798	-18.6685341634904	-13.5863851221365	-11.3246082248139	-12.0434341809713	-16.134555591488	-17.0343281437494	-17.8959446595935	-16.7221152036952	-18.6387868200963	-3.94053839330858	-4.64585209565681	-18.5255762096483	-17.155464581251	-8.19664730161892	-13.0103226807386	-15.9867101235166	-16.5881607470264	-2.59748125531472	-11.6864912939645	-17.5120296778104	-16.0538243193752	-18.346606068603	-16.1139453118127	-12.5556603062492	-2.83246633881387	-16.2200736626741	-15.9047685099805	-16.9867101235166	-4.25934214203565	-17.7616435678819	-7.05223421373195	-18.6685341634904	-14.9293161175928	-16.2311288511831	-17.1449722074334	-16.1766810671607	-14.7596412149707	-15.6461663504619	-16.3831319446281	-14.8064134380019	-14.2705030895172	-16.9497159160344	-17.58107132224	-14.3908593066527	-8.93997586570367	-18.0440432985826	-18.1242136472666	-8.74297972361683	-15.9497159160344	-9.35187550586542	-10.0227256457717	-17.4721369506869	-17.2762167407116	-13.8654793788664	-16.2705030895172	-5.86028219679887	-7.80038682453931	-8.41065529086178	-8.49918326517402	-8.55164875167764	-9.38371006326576	-9.63362059670756	-13.312449057871	-13.3769797176465	-13.7437216598846	-14.3080528278336	-15.3831319446281	-15.4333177017963	-16.5952851814597	-19.0835716627692	-19.2993003538247	-19.2993003538247	-17.5530569460704	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-16.5952851814597	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-15.0416083696655	-16.7457020240128	-15.2506816486045	-17.5255762096483	-18.4206066500468	-16.1088384213797	-15.5495930907669	-15.9588759153199	-16.4721369506869	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5FZ4A_P	-1.91743473888653	-1.8437898001885	-16.3109821588723	-7.26104508966217	-15.2009286134074	-5.09489190647574	-15.58107132224	-15.346606068603	-12.9293161175928	-6.33226007520626	-16.9315685693242	-17.6241400441319	-16.9225797860969	-16.5669961370283	-12.4301294241653	-19.346606068603	-12.7656566303885	-17.134555591488	-14.6912542399905	-13.4787096046104	-10.8033164170468	-12.4534056765865	-9.83577598055348	-11.1072462183256	-11.7085322314223	-18.4721369506869	-16.5120296778104	-19.0440432985826	-16.134555591488	-11.7899722909404	-17.8959446595935	-1.77433958020748	-18.6387868200963	-16.5669961370283	-5.51605124945608	-18.5255762096483	-13.2648119774394	-16.005569150768	-5.90952158353152	-9.66279266904933	-11.1433396452575	-4.88228581016828	-16.4080066132672	-17.5120296778104	-10.395515669084	-13.2380816118248	-16.1139453118127	-16.395515669084	-17.7457020240128	-10.6141559555593	-8.32340617151369	-10.8449015514134	-16.2422694087883	-17.7616435678819	-19.2993003538247	-18.6685341634904	-6.62678946558489	-16.2311288511831	-11.9276290836361	-16.1766810671607	-9.07180085852035	-11.8806316040989	-16.3831319446281	-14.8064134380019	-14.2705030895172	-16.9497159160344	-17.58107132224	-14.3908593066527	-17.8959446595935	-6.88410379600575	-7.73232566191943	-8.22593618196276	-9.3009374031547	-9.91922337890435	-10.1999101205724	-10.6498703192253	-12.0717232254027	-16.1242136472666	-16.2705030895172	-19.0440432985826	-14.3877633933598	-15.0246779737157	-15.2705030895172	-18.8611792414328	-17.2877123795495	-17.3346334269369	-17.6096404744368	-18.2091025448531	-16.7299347081545	-18.1660338229612	-17.8784572328646	-16.4333177017963	-16.5952851814597	-19.0835716627692	-19.2993003538247	-19.2993003538247	-17.5530569460704	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-16.5952851814597	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-15.0416083696655	-16.7457020240128	-15.2506816486045	-17.5255762096483	-18.4206066500468	-16.1088384213797	-15.5495930907669	-15.9588759153199	-16.4721369506869	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5MCUQ_P	-15.5461375321307	-3.7088604420415	-5.42540357857174	-4.01219077441012	-15.2009286134074	-16.0538243193752	-10.8579625287492	-8.88826781495999	-9.21895559438769	-8.84291281557369	-16.9315685693242	-7.59224742890632	-16.9225797860969	-10.4538103028803	-8.87961195952976	-11.6232295391848	-12.1005780880749	-17.134555591488	-18.8272319095094	-6.93896652364733	-13.677957417377	-16.8105531683628	-6.80552559087217	-11.8724945546606	-18.6685341634904	-12.6259627797387	-19.0440432985826	-13.7377968259275	-7.03967097362465	-13.0760771262223	-12.9360840504467	-3.06126405962434	-8.05897063484099	-4.45077205834432	-5.92240478032977	-15.2311288511831	-15.4206066500468	-6.12244356780189	-3.86269794300578	-8.64241421560082	-16.5881607470264	-15.7299347081545	-10.7157929163039	-17.5120296778104	-7.86326051997823	-9.97882732213769	-13.8084818183431	-16.395515669084	-1.69866052999409	-10.8478233319297	-8.98927400377359	-7.34952070000053	-16.2422694087883	-17.7616435678819	-19.2993003538247	-18.6685341634904	-4.26928405871158	-8.94352301304746	-9.40888896560128	-4.60117683592126	-14.7596412149707	-7.67869620775402	-16.3831319446281	-14.8064134380019	-14.2705030895172	-16.9497159160344	-11.9209006064223	-14.3908593066527	-13.2380816118248	-18.0440432985826	-8.69483679718503	-7.51010855790912	-8.85910096108232	-8.14069066561018	-8.34872094077391	-11.9872957517126	-7.14213681319463	-12.1274375481409	-11.1505367783014	-6.31146332071711	-7.51950158354674	-15.0246779737157	-10.2498030814737	-9.32812767263709	-17.2877123795495	-17.3346334269369	-17.6096404744368	-18.2091025448531	-7.36811009943053	-9.49568999201431	-16.6535838220244	-9.4655941048201	-16.5952851814597	-5.84807262117747	-19.2993003538247	-9.60311802881383	-17.5530569460704	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-14.1319631468715	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-9.33995272642854	-17.8105531683628	-10.7669130051443	-15.0416083696655	-16.7457020240128	-15.2506816486045	-17.5255762096483	-10.7211407389227	-16.1088384213797	-15.5495930907669	-15.9588759153199	-9.1375589243032	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5MCTZ_P	-2.05484959724875	-4.25100575530267	-8.73312352787181	-3.2524541381846	-15.2009286134074	-4.86880986362288	-16.58107132224	-7.9587323421456	-13.6685341634904	-10.1765140982304	-16.9315685693242	-8.91462103207997	-16.9225797860969	-16.5669961370283	-8.70413312448694	-12.8012554237807	-18.0835716627692	-17.134555591488	-18.8272319095094	-15.2422694087883	-5.46212388978728	-16.8105531683628	-11.353762121854	-13.942883882552	-18.6685341634904	-18.4721369506869	-19.0440432985826	-11.5957316289462	-16.134555591488	-15.6685341634904	-16.8959446595935	-3.47128226876405	-18.6387868200963	-4.23070083134278	-9.72944474549371	-14.508662826712	-11.9069829310459	-16.005569150768	-7.23305922647599	-6.40861930068491	-10.0967815199868	-5.83224541777531	-18.3708536148497	-11.8319577573633	-6.33775730527599	-18.346606068603	-16.1139453118127	-9.45847168025015	-8.02957038365568	-18.5530569460704	-6.31192171933591	-16.9867101235166	-16.2422694087883	-8.58367042472816	-6.90772760148741	-18.6685341634904	-8.45710210519154	-14.3286841606058	-10.0578168787156	-16.1766810671607	-8.7040729557854	-8.15649332888148	-16.3831319446281	-14.8064134380019	-14.2705030895172	-16.9497159160344	-13.9797010649973	-4.97187447400811	-10.6289296455366	-18.0440432985826	-8.57341190311907	-17.5392511465454	-15.9497159160344	-9.59038335575573	-13.3785153165578	-17.4721369506869	-12.9715666372561	-18.1874074737538	-16.2705030895172	-8.92994926427457	-14.3877633933598	-7.97751769923591	-12.2978467566832	-13.8377548959214	-17.2877123795495	-10.6223196085076	-17.6096404744368	-10.2009286134074	-13.6931638299991	-8.64206835615193	-17.8784572328646	-6.47327731478069	-16.5952851814597	-11.3931856092921	-19.2993003538247	-19.2993003538247	-11.1078828886981	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-16.5952851814597	-17.9680944453493	-2.83864526216301	-5.69879540612507	-9.56688671345961	-10.4770636317668	-11.6236847198293	-13.1267921913683	-17.2091025448531	-15.0416083696655	-16.7457020240128	-15.2506816486045	-17.5255762096483	-18.4206066500468	-16.1088384213797	-15.5495930907669	-15.9588759153199	-16.4721369506869	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5MCVB_P	-6.51697581693254	-6.22288340590661	-11.5192104321152	-8.56830986761619	-13.2733570865724	-5.65849420654583	-16.58107132224	-15.346606068603	-16.9588759153199	-11.5128726197221	-16.9315685693242	-17.6241400441319	-16.9225797860969	-10.1384530140498	-17.8105531683628	-19.346606068603	-19.0835716627692	-17.134555591488	-18.8272319095094	-20.346606068603	-16.3647534153133	-16.8105531683628	-18.7299347081545	-18.6387868200963	-18.6685341634904	-18.4721369506869	-19.0440432985826	-19.0440432985826	-3.81562676663631	-17.0343281437494	-17.8959446595935	-16.7221152036952	-18.6387868200963	-7.9811220267273	-8.31474407766849	-18.5255762096483	-14.6168720436679	-16.005569150768	-9.85408521246467	-11.4741876902516	-16.5881607470264	-10.2356443323056	-15.134555591488	-17.5120296778104	-11.9265054893107	-18.346606068603	-16.1139453118127	-16.395515669084	-0.253659540975753	-19.5530569460704	-12.4558351383578	-16.9867101235166	-16.2422694087883	-17.7616435678819	-19.2993003538247	-18.6685341634904	-14.9293161175928	-10.2231743815675	-18.1449722074334	-16.1766810671607	-14.7596412149707	-15.6461663504619	-16.3831319446281	-14.8064134380019	-14.2705030895172	-16.9497159160344	-17.58107132224	-14.3908593066527	-17.8959446595935	-18.0440432985826	-18.1242136472666	-17.5392511465454	-15.9497159160344	-18.2534966642115	-17.5952851814597	-17.4721369506869	-17.2762167407116	-18.1874074737538	-16.2705030895172	-19.0440432985826	-14.3877633933598	-15.0246779737157	-15.2705030895172	-18.8611792414328	-17.2877123795495	-17.3346334269369	-17.6096404744368	-18.2091025448531	-16.7299347081545	-18.1660338229612	-17.8784572328646	-10.411735777411	-16.5952851814597	-19.0835716627692	-19.2993003538247	-19.2993003538247	-17.5530569460704	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-16.5952851814597	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-15.0416083696655	-16.7457020240128	-15.2506816486045	-17.5255762096483	-18.4206066500468	-16.1088384213797	-15.5495930907669	-15.9588759153199	-16.4721369506869	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5MCU4_P	-13.6666568762497	-13.0379636644659	-17.3109821588723	-13.6498703192253	-7.96589249084794	-16.0538243193752	-16.58107132224	-15.346606068603	-16.9588759153199	-4.30337082855555	-16.9315685693242	-6.95939648788338	-12.0115135145172	-8.66063089010833	-17.8105531683628	-19.346606068603	-6.51299119793824	-17.134555591488	-6.45641780491425	-13.5069823430731	-16.3647534153133	-5.29770488230226	-10.1746787142496	-18.6387868200963	-4.85167550191067	-7.37506251465225	-19.0440432985826	-9.89374710388921	-16.134555591488	-17.0343281437494	-17.8959446595935	-16.7221152036952	-11.7742216339613	-16.5669961370283	-16.0986785551594	-6.24041393643781	-17.155464581251	-16.005569150768	-16.7143378531035	-8.54489770968656	-16.5881607470264	-15.7299347081545	-18.3708536148497	-17.5120296778104	-7.35027381977796	-18.346606068603	-15.1139453118127	-16.395515669084	-0.435534418714995	-19.5530569460704	-15.9047685099805	-16.9867101235166	-16.2422694087883	-17.7616435678819	-19.2993003538247	-18.6685341634904	-14.9293161175928	-16.2311288511831	-18.1449722074334	-16.1766810671607	-14.7596412149707	-15.6461663504619	-16.3831319446281	-11.3376172853758	-14.2705030895172	-16.9497159160344	-17.58107132224	-14.3908593066527	-10.2767535574772	-18.0440432985826	-5.96351382748873	-9.47654965013007	-15.9497159160344	-18.2534966642115	-17.5952851814597	-11.0974135879229	-10.0724997446318	-18.1874074737538	-16.2705030895172	-19.0440432985826	-14.3877633933598	-5.15882100441223	-15.2705030895172	-18.8611792414328	-17.2877123795495	-17.3346334269369	-12.9646305900457	-9.48438200189884	-10.7930407679019	-18.1660338229612	-17.8784572328646	-16.4333177017963	-9.04214065931638	-9.37276522906987	-19.2993003538247	-19.2993003538247	-17.5530569460704	-15.9727258940809	-16.8105531683628	-18.1660338229612	-18.1242136472666	-16.5952851814597	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-5.21885887920269	-16.7457020240128	-15.2506816486045	-17.5255762096483	-18.4206066500468	-16.1088384213797	-15.5495930907669	-15.9588759153199	-16.4721369506869	-15.3051294326269	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5MCWA_P	-4.16053826849037	-6.74308789889429	-9.00046173629483	-7.25567767611857	-5.1811965482832	-8.33230657400699	-16.58107132224	-12.3234986016025	-5.22954743551514	-3.10843149611152	-9.25631718327391	-17.6241400441319	-16.9225797860969	-7.23132394032504	-10.9940476179259	-16.4721369506869	-19.0835716627692	-17.134555591488	-18.8272319095094	-20.346606068603	-11.2221400679558	-16.8105531683628	-12.3777473127915	-18.6387868200963	-18.6685341634904	-18.4721369506869	-19.0440432985826	-19.0440432985826	-2.67747186877453	-17.0343281437494	-17.8959446595935	-6.6989078125339	-18.6387868200963	-8.23138897590192	-8.24139594805997	-15.3893105195573	-8.68204026807364	-8.96888941821598	-10.5011160176586	-12.9383471019552	-16.5881607470264	-9.11987277742856	-11.8499519860095	-10.8488872663738	-11.7191937817569	-12.9657842846621	-11.4162629638724	-8.54770230670895	-9.97649992491442	-19.5530569460704	-8.2442366310933	-7.44109370449884	-16.2422694087883	-14.236688376525	-12.6770123174147	-18.6685341634904	-14.9293161175928	-3.46483408258771	-12.0729658568671	-10.2605583280457	-14.7596412149707	-11.0714127347008	-4.76242649243621	-14.8064134380019	-8.85702567030115	-13.5757770225705	-13.4190256142273	-14.3908593066527	-15.9406137089272	-8.40047957663484	-10.669238776467	-13.9961088215189	-4.1793212214058	-18.2534966642115	-17.5952851814597	-17.4721369506869	-11.7167637743761	-18.1874074737538	-5.19196197931602	-10.3664664909639	-13.3877633933598	-11.2989368172117	-15.2705030895172	-18.8611792414328	-17.2877123795495	-15.0835716627692	-17.6096404744368	-18.2091025448531	-16.7299347081545	-18.1660338229612	-17.8784572328646	-16.4333177017963	-16.5952851814597	-19.0835716627692	-19.2993003538247	-9.78538177783344	-17.5530569460704	-15.9727258940809	-1.70548240841066	-18.1660338229612	-18.1242136472666	-16.5952851814597	-15.8441057280738	-13.9147602816376	-13.2346010430899	-11.4890397005916	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-15.0416083696655	-10.4915299688294	-10.1077236947624	-17.5255762096483	-18.4206066500468	-16.1088384213797	-11.0854513959874	-15.9588759153199	-16.4721369506869	-15.3051294326269	-9.59673664120617	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
CSM5MCWK_P	-1.54748342283338	-3.50018033353964	-3.4592045563072	-4.07422900092983	-5.1059985626028	-4.63629467785205	-16.58107132224	-15.346606068603	-13.1686882764072	-8.67783924601757	-16.9315685693242	-17.6241400441319	-16.9225797860969	-14.3831319446281	-14.8147048116333	-19.346606068603	-13.9025574826651	-8.0996280089883	-18.8272319095094	-7.378083264134	-15.2534966642115	-13.4397154729945	-12.2862704053755	-10.6399373864233	-18.6685341634904	-18.4721369506869	-17.1660338229612	-19.0440432985826	-11.0816943755286	-17.0343281437494	-17.8959446595935	-6.28066268025393	-18.6387868200963	-3.15856977457951	-5.53572654183043	-10.3914405307421	-17.155464581251	-5.69033763984842	-7.204754378155	-7.83696300401195	-3.76262816431705	-13.4349144867307	-18.3708536148497	-17.5120296778104	-9.07732351510405	-13.0898469881957	-16.1139453118127	-6.31741088253186	-17.7457020240128	-12.1306686694039	-7.57508908801765	-16.9867101235166	-16.2422694087883	-9.16230924174443	-19.2993003538247	-18.6685341634904	-14.9293161175928	-6.96236194635994	-13.4048737237822	-8.34271341834084	-14.7596412149707	-15.6461663504619	-16.3831319446281	-14.8064134380019	-11.2898780467676	-16.9497159160344	-17.58107132224	-6.89919562060149	-17.8959446595935	-18.0440432985826	-7.54395507976678	-7.71439845144609	-15.9497159160344	-10.8692525419685	-9.58096082593233	-15.0735875741966	-12.3242382555746	-18.1874074737538	-16.2705030895172	-9.32109734177774	-9.59495043648568	-6.63647408317028	-15.2705030895172	-18.8611792414328	-17.2877123795495	-15.3526298562308	-16.6096404744368	-12.7037119962637	-16.7299347081545	-13.1358535628224	-17.8784572328646	-6.3047302096041	-16.5952851814597	-19.0835716627692	-19.2993003538247	-19.2993003538247	-11.8240899226976	-14.5461375321307	-16.8105531683628	-15.1242136472666	-13.3693261451031	-15.5952851814597	-17.9680944453493	-13.9147602816376	-13.2346010430899	-15.6096404744368	-18.3708536148497	-16.9588759153199	-17.8105531683628	-18.9315685693242	-15.0416083696655	-16.7457020240128	-15.2506816486045	-13.1177873781071	-18.4206066500468	-16.1088384213797	-14.203648114761	-15.9588759153199	-16.4721369506869	-11.8089993771077	-17.2993003538247	-17.9867101235166	-14.8828092574043	-14.9797010649973	-17.9136466613269	-14.7299347081545	-18.3708536148497
