feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Alistipes.indistinctus	age	age	0.893292609651611	0.214410094972791	136	23	5.70498842514181e-05	0.0217360058997903
Ruminococcus.bicirculans	age	age	1.23023000244049	0.351308863083365	136	45	0.000639854524689925	0.0698542060745723
Lacrimispora.saccharolytica	age	age	0.710860257109849	0.208901250669745	136	16	0.000894419453548247	0.0698542060745723
Alistipes.putredinis	disease	IBD	-3.95360339953663	1.18348108035448	136	87	0.00110006623739484	0.0698542060745723
Ruminococcus.bromii	age	age	0.792315661046812	0.233969176443895	136	30	0.000944965113926856	0.0698542060745723
Gemmiger.formicilis	disease	IBD	-1.91326221225626	0.549223698640815	136	43	0.000681005504812928	0.0698542060745723
Bifidobacterium.pseudocatenulatum	age	age	-0.939103646194795	0.286605403865365	136	25	0.00135734159220117	0.0738781638040923
X.Ruminococcus..torques	disease	IBD	-2.90046007280392	0.921816479482754	136	80	0.00206255900581039	0.0982293726517197
Ruminococcus.bicirculans	disease	IBD	-2.45141742382167	0.857833127111246	136	45	0.00499441450205854	0.149535971837544
X.Ruminococcus..gnavus	age	age	-1.08051875870061	0.37906932541222	136	81	0.00510227725429941	0.149535971837544
Lachnospira.eligens	age	age	1.0169405599628	0.353566539066331	136	82	0.00472729830767256	0.149535971837544
Sellimonas.intestinalis	disease	IBD	-1.19070505919264	0.413778371778065	136	16	0.00470761782880619	0.149535971837544
Haemophilus.parainfluenzae	age	age	-1.05243456229759	0.364298843000071	136	64	0.00455207899125724	0.149535971837544
X.Clostridium..leptum	disease	IBD	-2.36773914220882	0.844517530102343	136	54	0.00585299862717014	0.153679111208328
Butyricimonas.virosa	age	age	0.473083855274758	0.169426274506259	136	31	0.00605035870898928	0.153679111208328
Lawsonibacter.asaccharolyticus	age	age	0.811620776984726	0.295737959028108	136	52	0.00694809817748679	0.165451587851404
Coprobacter.fastidiosus	antibiotics_current_use	yes	1.33836131048127	0.492437508363997	136	17	0.00749682942615202	0.168017177139054
X.Eubacterium..siraeum	age	age	0.829602919984538	0.312311645715998	136	43	0.00892121592182019	0.188832403678527
X.Eubacterium..rectale	antibiotics_current_use	yes	-2.67225068927591	1.0159523407319	136	104	0.00959480900051317	0.192401169957659
Agathobaculum.butyriciproducens	antibiotics_current_use	yes	-2.6360012474262	1.0128588045262	136	77	0.0103630273881485	0.197415671744229
Butyricimonas.synergistica	age	age	0.51593090447607	0.201337764602192	136	24	0.0115683458193022	0.209882845578768
Monoglobus.pectinilyticus	age	age	0.526947490825399	0.213214759829377	136	16	0.0147921424727615	0.239663735790495
Veillonella.atypica	age	age	-0.903269888455524	0.364032833732247	136	47	0.0144085886220873	0.239663735790495
Alistipes.shahii	disease	IBD	-2.33371715027885	0.947211415155806	136	66	0.0150969282387713	0.239663735790495
